treeModel rep method clockModel mse
D750_11_10 rep001 emd quartlnorm 3.30215
D750_11_10 rep001 emd trilnormcave 2.08377
D750_11_10 rep001 emd trilnorm 2.66772
D750_11_10 rep001 emd trilnormvex 1.56277
D750_11_10 rep002 emd quartlnorm 2.34261
D750_11_10 rep002 emd trilnormcave 1.49281
D750_11_10 rep002 emd trilnorm 3.21548
D750_11_10 rep002 emd trilnormvex 1.89629
D750_11_10 rep003 emd quartlnorm 3.16386
D750_11_10 rep003 emd trilnormcave 1.08597
D750_11_10 rep003 emd trilnorm 1.72782
D750_11_10 rep003 emd trilnormvex 1.95289
D750_11_10 rep004 emd quartlnorm 2.63966
D750_11_10 rep004 emd trilnormcave 7.82045
D750_11_10 rep004 emd trilnorm 1.78797
D750_11_10 rep004 emd trilnormvex 2.11471
D750_11_10 rep005 emd quartlnorm 4.74417
D750_11_10 rep005 emd trilnormcave 1.52296
D750_11_10 rep005 emd trilnorm 1.34884
D750_11_10 rep005 emd trilnormvex 3.14748
D750_11_10 rep006 emd quartlnorm 7.79241
D750_11_10 rep006 emd trilnormcave 1.67173
D750_11_10 rep006 emd trilnorm 2.53507
D750_11_10 rep006 emd trilnormvex 2.15705
D750_11_10 rep007 emd quartlnorm 3.25136
D750_11_10 rep007 emd trilnormcave 0.934837
D750_11_10 rep007 emd trilnorm 1.51038
D750_11_10 rep007 emd trilnormvex 2.67429
D750_11_10 rep008 emd quartlnorm 3.41188
D750_11_10 rep008 emd trilnormcave 2.03283
D750_11_10 rep008 emd trilnorm 1.63329
D750_11_10 rep008 emd trilnormvex 2.2524
D750_11_10 rep009 emd quartlnorm 2.60318
D750_11_10 rep009 emd trilnormcave 2.19005
D750_11_10 rep009 emd trilnorm 1.67733
D750_11_10 rep009 emd trilnormvex 4.14685
D750_11_10 rep010 emd quartlnorm 4.33811
D750_11_10 rep010 emd trilnormcave 2.44749
D750_11_10 rep010 emd trilnorm 3.16484
D750_11_10 rep010 emd trilnormvex 2.74283
D750_11_10 rep011 emd quartlnorm 5.30368
D750_11_10 rep011 emd trilnormcave 1.4614
D750_11_10 rep011 emd trilnorm 4.49748
D750_11_10 rep011 emd trilnormvex 2.73876
D750_11_10 rep012 emd quartlnorm 4.06557
D750_11_10 rep012 emd trilnormcave 1.29074
D750_11_10 rep012 emd trilnorm 2.96953
D750_11_10 rep012 emd trilnormvex 3.64727
D750_11_10 rep013 emd quartlnorm 7.39997
D750_11_10 rep013 emd trilnormcave 2.62007
