treeModel clockModel method rep error
D750_11_10 unif wLogDate rep001 1.0642149825889797
D750_11_10 unif MD-Cat rep001 0.8038085016872829
D750_11_10 lognorm wLogDate rep001 0.3860699681459661
D750_11_10 lognorm MD-Cat rep001 0.35674900061716436
D750_11_10 gamma wLogDate rep001 0.3431708148625425
D750_11_10 gamma MD-Cat rep001 0.37834733065547627
D750_11_10 exp wLogDate rep001 1.1593941951839688
D750_11_10 exp MD-Cat rep001 1.3263246367022805
D750_11_10 unif wLogDate rep002 1.215495384286208
D750_11_10 unif MD-Cat rep002 1.2165435745445645
D750_11_10 lognorm wLogDate rep002 0.335789557676875
D750_11_10 lognorm MD-Cat rep002 0.3958306856313026
D750_11_10 gamma wLogDate rep002 0.3710221250220434
D750_11_10 gamma MD-Cat rep002 0.4029251661334405
D750_11_10 exp wLogDate rep002 1.6280116484289642
D750_11_10 exp MD-Cat rep002 1.4712010838719398
D750_11_10 unif wLogDate rep003 1.2451372951622397
D750_11_10 unif MD-Cat rep003 1.0770466258582154
D750_11_10 lognorm wLogDate rep003 0.586817675757763
D750_11_10 lognorm MD-Cat rep003 0.41792063764961157
D750_11_10 gamma wLogDate rep003 0.7266871459017916
D750_11_10 gamma MD-Cat rep003 0.5061528306764298
D750_11_10 exp wLogDate rep003 1.5898848861480046
D750_11_10 exp MD-Cat rep003 1.192120210108504
D750_11_10 unif wLogDate rep004 1.321488954844779
D750_11_10 unif MD-Cat rep004 1.0585382993628065
D750_11_10 lognorm wLogDate rep004 0.3980194928412224
D750_11_10 lognorm MD-Cat rep004 0.38788770226885105
D750_11_10 gamma wLogDate rep004 0.40515094030474796
D750_11_10 gamma MD-Cat rep004 0.4349102876881005
D750_11_10 exp wLogDate rep004 1.8314560466903456
D750_11_10 exp MD-Cat rep004 1.1953739503791923
D750_11_10 unif wLogDate rep005 1.1570185351602837
D750_11_10 unif MD-Cat rep005 1.2070450420953287
D750_11_10 lognorm wLogDate rep005 0.33116617847950874
D750_11_10 lognorm MD-Cat rep005 0.41096458764233956
D750_11_10 gamma wLogDate rep005 0.3917179113057757
D750_11_10 gamma MD-Cat rep005 0.5013729637452204
D750_11_10 exp wLogDate rep005 1.2011291987290795
D750_11_10 exp MD-Cat rep005 1.2839094298397162
D750_11_10 unif wLogDate rep006 1.1657252652708736
D750_11_10 unif MD-Cat rep006 0.980685286532813
D750_11_10 lognorm wLogDate rep006 0.45205367869914864
D750_11_10 lognorm MD-Cat rep006 0.4087759832454603
D750_11_10 gamma wLogDate rep006 0.7090894140156176
D750_11_10 gamma MD-Cat rep006 0.43358802553031295
D750_11_10 exp wLogDate rep006 1.3415663941037654
D750_11_10 exp MD-Cat rep006 1.3415308760981248
D750_11_10 unif wLogDate rep007 0.8811198122317686
D750_11_10 unif MD-Cat rep007 0.9212878384754145
D750_11_10 lognorm wLogDate rep007 0.37676146551466244
D750_11_10 lognorm MD-Cat rep007 0.4141549641211413
D750_11_10 gamma wLogDate rep007 0.3950422862581173
D750_11_10 gamma MD-Cat rep007 0.43072693464831546
D750_11_10 exp wLogDate rep007 1.661603967270173
D750_11_10 exp MD-Cat rep007 1.1424599435674228
D750_11_10 unif wLogDate rep008 0.9263060699150854
D750_11_10 unif MD-Cat rep008 0.827497503712305
D750_11_10 lognorm wLogDate rep008 0.31763264318690376
D750_11_10 lognorm MD-Cat rep008 0.39115420227762493
D750_11_10 gamma wLogDate rep008 0.4320069002630907
D750_11_10 gamma MD-Cat rep008 0.47586433317047566
D750_11_10 exp wLogDate rep008 1.6233902699964147
D750_11_10 exp MD-Cat rep008 1.3737146699041394
D750_11_10 unif wLogDate rep009 0.9516641201807103
D750_11_10 unif MD-Cat rep009 0.8706751409653151
D750_11_10 lognorm wLogDate rep009 0.39426046650982244
D750_11_10 lognorm MD-Cat rep009 0.44633578548709174
D750_11_10 gamma wLogDate rep009 0.3892057231906006
D750_11_10 gamma MD-Cat rep009 0.4664461510652205
D750_11_10 exp wLogDate rep009 1.4300352596488135
D750_11_10 exp MD-Cat rep009 1.4039605865116156
D750_11_10 unif wLogDate rep010 0.8913974931766605
D750_11_10 unif MD-Cat rep010 1.281523013563708
D750_11_10 lognorm wLogDate rep010 0.2923018316869918
D750_11_10 lognorm MD-Cat rep010 0.308833012294723
D750_11_10 gamma wLogDate rep010 0.3875844407419831
D750_11_10 gamma MD-Cat rep010 0.4270699379749201
D750_11_10 exp wLogDate rep010 1.8163958047948698
D750_11_10 exp MD-Cat rep010 1.356657475755968
D750_11_10 unif wLogDate rep011 1.105810050599239
D750_11_10 unif MD-Cat rep011 1.0540078913977406
D750_11_10 lognorm wLogDate rep011 0.37045291036352934
D750_11_10 lognorm MD-Cat rep011 0.3723433857619485
D750_11_10 gamma wLogDate rep011 0.3979127181835627
D750_11_10 gamma MD-Cat rep011 0.48189203621797133
D750_11_10 exp wLogDate rep011 1.6075899828299614
D750_11_10 exp MD-Cat rep011 1.568872488247533
D750_11_10 unif wLogDate rep012 1.0477507371829518
D750_11_10 unif MD-Cat rep012 1.3722221029395907
D750_11_10 lognorm wLogDate rep012 0.35251135095598635
D750_11_10 lognorm MD-Cat rep012 0.3566286704051372
D750_11_10 gamma wLogDate rep012 0.37522821628437647
D750_11_10 gamma MD-Cat rep012 0.435248899817571
D750_11_10 exp wLogDate rep012 1.6396969096975442
D750_11_10 exp MD-Cat rep012 1.2417791452093785
D750_11_10 unif wLogDate rep013 0.8750809587422878
D750_11_10 unif MD-Cat rep013 0.90465083801699
D750_11_10 lognorm wLogDate rep013 0.4053174721736846
D750_11_10 lognorm MD-Cat rep013 0.4505478706889667
D750_11_10 gamma wLogDate rep013 0.3226378175764563
D750_11_10 gamma MD-Cat rep013 0.3208454378173441
D750_11_10 exp wLogDate rep013 1.4060956897082715
D750_11_10 exp MD-Cat rep013 1.305822833404519
D750_11_10 unif wLogDate rep014 1.3052780043754375
D750_11_10 unif MD-Cat rep014 1.2070205324639245
D750_11_10 lognorm wLogDate rep014 0.3617203631180499
D750_11_10 lognorm MD-Cat rep014 0.3775763466745326
D750_11_10 gamma wLogDate rep014 0.37527686639318397
D750_11_10 gamma MD-Cat rep014 0.4009490883092572
D750_11_10 exp wLogDate rep014 1.8461324443779588
D750_11_10 exp MD-Cat rep014 1.2095522873457418
D750_11_10 unif wLogDate rep015 0.8247818047647417
D750_11_10 unif MD-Cat rep015 0.9486102684266091
D750_11_10 lognorm wLogDate rep015 0.41722153266364953
D750_11_10 lognorm MD-Cat rep015 0.4595291417359296
D750_11_10 gamma wLogDate rep015 0.3895597662623923
D750_11_10 gamma MD-Cat rep015 0.4290813464302645
D750_11_10 exp wLogDate rep015 1.2504029412102846
D750_11_10 exp MD-Cat rep015 1.1384604770863798
D750_11_10 unif wLogDate rep016 1.0644587672800954
D750_11_10 unif MD-Cat rep016 0.9620998077826751
D750_11_10 lognorm wLogDate rep016 0.36134768281286994
D750_11_10 lognorm MD-Cat rep016 0.34333529355804965
D750_11_10 gamma wLogDate rep016 0.42236567928414664
D750_11_10 gamma MD-Cat rep016 0.551118932212291
D750_11_10 exp wLogDate rep016 1.4473596606722345
D750_11_10 exp MD-Cat rep016 1.3608105015340113
D750_11_10 unif wLogDate rep017 1.2656692852637572
D750_11_10 unif MD-Cat rep017 1.0501294952588665
D750_11_10 lognorm wLogDate rep017 0.7677584197988724
D750_11_10 lognorm MD-Cat rep017 0.4065528752373266
D750_11_10 gamma wLogDate rep017 0.7103423376132616
D750_11_10 gamma MD-Cat rep017 0.4231125583366754
D750_11_10 exp wLogDate rep017 2.2070104187667905
D750_11_10 exp MD-Cat rep017 1.7000412913993264
D750_11_10 unif wLogDate rep018 0.9986008690312096
D750_11_10 unif MD-Cat rep018 1.140307863236229
D750_11_10 lognorm wLogDate rep018 0.4004631404131977
D750_11_10 lognorm MD-Cat rep018 0.41339507663554953
D750_11_10 gamma wLogDate rep018 0.6229978673908738
D750_11_10 gamma MD-Cat rep018 0.44165910110074125
D750_11_10 exp wLogDate rep018 1.606052262374555
D750_11_10 exp MD-Cat rep018 1.6818311671147652
D750_11_10 unif wLogDate rep019 0.9754629370272363
D750_11_10 unif MD-Cat rep019 1.096235312361073
D750_11_10 lognorm wLogDate rep019 0.7409039018141308
D750_11_10 lognorm MD-Cat rep019 0.36115596044663323
D750_11_10 gamma wLogDate rep019 0.4461053264532168
D750_11_10 gamma MD-Cat rep019 0.5073746180451358
D750_11_10 exp wLogDate rep019 1.7690244736537775
D750_11_10 exp MD-Cat rep019 1.0176929586566934
D750_11_10 unif wLogDate rep020 1.0370924307834246
D750_11_10 unif MD-Cat rep020 1.222794343980606
D750_11_10 lognorm wLogDate rep020 0.36312455428433676
D750_11_10 lognorm MD-Cat rep020 0.3786817775465782
D750_11_10 gamma wLogDate rep020 0.3696155351726967
D750_11_10 gamma MD-Cat rep020 0.38984668099619935
D750_11_10 exp wLogDate rep020 1.4032223810854716
D750_11_10 exp MD-Cat rep020 1.4857666978304118
D750_11_10 unif wLogDate rep021 1.3096095978934537
D750_11_10 unif MD-Cat rep021 0.9329569056243562
D750_11_10 lognorm wLogDate rep021 0.33328880379280523
D750_11_10 lognorm MD-Cat rep021 0.3927457652431437
D750_11_10 gamma wLogDate rep021 0.42432413806855784
D750_11_10 gamma MD-Cat rep021 0.6079660832768814
D750_11_10 exp wLogDate rep021 1.7575135668097401
D750_11_10 exp MD-Cat rep021 1.5936498505575214
D750_11_10 unif wLogDate rep022 0.7908747027615886
D750_11_10 unif MD-Cat rep022 0.8666939614687257
D750_11_10 lognorm wLogDate rep022 0.3586278553549351
D750_11_10 lognorm MD-Cat rep022 0.3735758749902321
D750_11_10 gamma wLogDate rep022 0.4197894387434383
D750_11_10 gamma MD-Cat rep022 0.3984591531518184
D750_11_10 exp wLogDate rep022 1.3997295318960998
D750_11_10 exp MD-Cat rep022 1.176066446763223
D750_11_10 unif wLogDate rep023 0.9620242795945715
D750_11_10 unif MD-Cat rep023 0.9475707931888276
D750_11_10 lognorm wLogDate rep023 0.5713180069233446
D750_11_10 lognorm MD-Cat rep023 0.3525885976915579
D750_11_10 gamma wLogDate rep023 0.36783350272604637
D750_11_10 gamma MD-Cat rep023 0.4416357298973874
D750_11_10 exp wLogDate rep023 1.5748027545457284
D750_11_10 exp MD-Cat rep023 1.3777451845804234
D750_11_10 unif wLogDate rep024 0.8412692754849387
D750_11_10 unif MD-Cat rep024 0.9633308257385725
D750_11_10 lognorm wLogDate rep024 0.3359940162040573
D750_11_10 lognorm MD-Cat rep024 0.361281993157179
D750_11_10 gamma wLogDate rep024 0.4462007319065209
D750_11_10 gamma MD-Cat rep024 0.5447937212526314
D750_11_10 exp wLogDate rep024 1.508619345231225
D750_11_10 exp MD-Cat rep024 1.3516322187289909
D750_11_10 unif wLogDate rep025 1.1151748911923225
D750_11_10 unif MD-Cat rep025 1.149023185394177
D750_11_10 lognorm wLogDate rep025 0.3532565983968064
D750_11_10 lognorm MD-Cat rep025 0.3920219460314392
D750_11_10 gamma wLogDate rep025 0.43104416062181455
D750_11_10 gamma MD-Cat rep025 0.510030980259484
D750_11_10 exp wLogDate rep025 1.4793445752244059
D750_11_10 exp MD-Cat rep025 1.4549096300622353
D750_11_10 unif wLogDate rep026 0.9629670032348094
D750_11_10 unif MD-Cat rep026 0.9031130697673736
D750_11_10 lognorm wLogDate rep026 0.4005675750114752
D750_11_10 lognorm MD-Cat rep026 0.46201253463426556
D750_11_10 gamma wLogDate rep026 0.37757307907037796
