treeModel rep method clockModel tmrca
D750_11_10 rep001 lsd quartlnorm -5.477298
D750_11_10 rep001 lsd trilnormcave -6.969657
D750_11_10 rep001 lsd trilnorm -0.24015199999999948
D750_11_10 rep001 lsd trilnormvex 0.7958700999999997
D750_11_10 rep002 lsd quartlnorm -1.8963220000000027
D750_11_10 rep002 lsd trilnormcave -2.4134870000000017
D750_11_10 rep002 lsd trilnorm -2.7504710000000023
D750_11_10 rep002 lsd trilnormvex -5.728377000000001
D750_11_10 rep003 lsd quartlnorm -3.2011510000000003
D750_11_10 rep003 lsd trilnormcave 1.4711840399999971
D750_11_10 rep003 lsd trilnorm -2.939132000000001
D750_11_10 rep003 lsd trilnormvex -6.030477000000001
D750_11_10 rep004 lsd quartlnorm -8.470476999999999
D750_11_10 rep004 lsd trilnormcave -7.7533959800000005
D750_11_10 rep004 lsd trilnorm -3.94230142
D750_11_10 rep004 lsd trilnormvex -5.633067
D750_11_10 rep005 lsd quartlnorm 1.5147109999999975
D750_11_10 rep005 lsd trilnormcave -0.21251700000000184
D750_11_10 rep005 lsd trilnorm 1.4921829999999991
D750_11_10 rep005 lsd trilnormvex -3.197899000000002
D750_11_10 rep006 lsd quartlnorm -6.407567999999999
D750_11_10 rep006 lsd trilnormcave -3.0579170000000024
D750_11_10 rep006 lsd trilnorm -2.1921620000000006
D750_11_10 rep006 lsd trilnormvex -0.4469670000000008
D750_11_10 rep007 lsd quartlnorm -6.696301400000001
D750_11_10 rep007 lsd trilnormcave -2.559057000000001
D750_11_10 rep007 lsd trilnorm -4.408677000000003
D750_11_10 rep007 lsd trilnormvex 0.7921929999999986
D750_11_10 rep008 lsd quartlnorm -6.901297000000003
D750_11_10 rep008 lsd trilnormcave -1.4220670000000009
D750_11_10 rep008 lsd trilnorm -4.706297000000003
D750_11_10 rep008 lsd trilnormvex 0.3733929999999981
D750_11_10 rep009 lsd quartlnorm -6.861887
D750_11_10 rep009 lsd trilnormcave -2.555974
D750_11_10 rep009 lsd trilnorm 0.4732059999999998
D750_11_10 rep009 lsd trilnormvex -3.936004
D750_11_10 rep010 lsd quartlnorm -3.8067868999999988
D750_11_10 rep010 lsd trilnormcave -5.4236737999999995
D750_11_10 rep010 lsd trilnorm -1.6571269999999994
D750_11_10 rep010 lsd trilnormvex -4.250813899999999
D750_11_10 rep011 lsd quartlnorm -1.6602770000000011
D750_11_10 rep011 lsd trilnormcave -1.4700270000000004
D750_11_10 rep011 lsd trilnorm -0.8997229999999989
D750_11_10 rep011 lsd trilnormvex -12.183037
D750_11_10 rep012 lsd quartlnorm -9.549534
D750_11_10 rep012 lsd trilnormcave -4.205844000000001
D750_11_10 rep012 lsd trilnorm -2.2318029999999998
D750_11_10 rep012 lsd trilnormvex 2.3798630000000003
D750_11_10 rep013 lsd quartlnorm -1.0829369999999998
D750_11_10 rep013 lsd trilnormcave -0.1831729999999998
D750_11_10 rep013 lsd trilnorm 0.48638600000000065
D750_11_10 rep013 lsd trilnormvex -5.500006999999999
D750_11_10 rep014 lsd quartlnorm -14.418607000000002
D750_11_10 rep014 lsd trilnormcave -1.4072270000000007
D750_11_10 rep014 lsd trilnorm -3.152027
D750_11_10 rep014 lsd trilnormvex -5.313096999999999
D750_11_10 rep015 lsd quartlnorm -5.586800000000002
D750_11_10 rep015 lsd trilnormcave -3.0765910000000023
D750_11_10 rep015 lsd trilnorm -2.709237000000002
D750_11_10 rep015 lsd trilnormvex 0.46379099999999784
D750_11_10 rep016 lsd quartlnorm -6.436857
D750_11_10 rep016 lsd trilnormcave -0.43858700000000006
D750_11_10 rep016 lsd trilnorm -2.6876770000000008
D750_11_10 rep016 lsd trilnormvex -4.981589
D750_11_10 rep017 lsd quartlnorm -2.6592870000000026
D750_11_10 rep017 lsd trilnormcave -1.1445440000000024
D750_11_10 rep017 lsd trilnorm 1.0775749999999986
D750_11_10 rep017 lsd trilnormvex -5.163828000000001
D750_11_10 rep018 lsd quartlnorm -5.009913000000002
D750_11_10 rep018 lsd trilnormcave -2.4187670000000008
D750_11_10 rep018 lsd trilnorm -2.131068900000002
D750_11_10 rep018 lsd trilnormvex -4.542466000000001
D750_11_10 rep019 lsd quartlnorm -10.304067
D750_11_10 rep019 lsd trilnormcave -1.9939269999999993
D750_11_10 rep019 lsd trilnorm -6.222397000000001
D750_11_10 rep019 lsd trilnormvex 0.17273300000000047
D750_11_10 rep020 lsd quartlnorm -11.032143000000001
D750_11_10 rep020 lsd trilnormcave -4.490729999999999
D750_11_10 rep020 lsd trilnorm -0.36278899999999914
D750_11_10 rep020 lsd trilnormvex -2.32442
D750_11_10 rep021 lsd quartlnorm -2.298457
D750_11_10 rep021 lsd trilnormcave -2.3107870000000004
D750_11_10 rep021 lsd trilnorm -1.681737
D750_11_10 rep021 lsd trilnormvex -2.5138169999999995
D750_11_10 rep022 lsd quartlnorm -1.1238470000000012
D750_11_10 rep022 lsd trilnormcave 0.5739805999999996
D750_11_10 rep022 lsd trilnorm 0.3209930000000012
D750_11_10 rep022 lsd trilnormvex -9.450866999999999
D750_11_10 rep023 lsd quartlnorm -13.977072999999999
D750_11_10 rep023 lsd trilnormcave 0.2998310000000002
D750_11_10 rep023 lsd trilnorm -1.6197019999999998
D750_11_10 rep023 lsd trilnormvex -2.3518433
D750_11_10 rep024 lsd quartlnorm -9.867287000000003
D750_11_10 rep024 lsd trilnormcave -2.457708000000001
D750_11_10 rep024 lsd trilnorm -5.120025000000002
D750_11_10 rep024 lsd trilnormvex -3.073447000000002
D750_11_10 rep025 lsd quartlnorm -3.7652069999999993
D750_11_10 rep025 lsd trilnormcave -1.4946783999999993
D750_11_10 rep025 lsd trilnorm -6.203831999999999
D750_11_10 rep025 lsd trilnormvex -7.470107
D750_11_10 rep026 lsd quartlnorm -8.757927
D750_11_10 rep026 lsd trilnormcave 1.0751729999999995
D750_11_10 rep026 lsd trilnorm -3.5600069999999993
D750_11_10 rep026 lsd trilnormvex -1.5186070000000003
D750_11_10 rep027 lsd quartlnorm -4.841867000000002
D750_11_10 rep027 lsd trilnormcave -1.6283072000000014
D750_11_10 rep027 lsd trilnorm -4.664808000000004
D750_11_10 rep027 lsd trilnormvex -0.2969460000000027
D750_11_10 rep028 lsd quartlnorm -5.772321000000002
D750_11_10 rep028 lsd trilnormcave -5.215931000000002
D750_11_10 rep028 lsd trilnorm -0.6998390000000017
D750_11_10 rep028 lsd trilnormvex -5.071663
