scenario rep method norm_rmse
scenario1 rep001 RelTime 0.155161
scenario1 rep001 MD-Cat 0.0868721
scenario1 rep001 wLogDate 0.188183
scenario1 rep001 Blnorm 0.142018
scenario1 rep002 RelTime 0.118603
scenario1 rep002 MD-Cat 0.138036
scenario1 rep002 wLogDate 0.175398
scenario1 rep002 Blnorm 0.157411
scenario1 rep003 RelTime 0.0984579
scenario1 rep003 MD-Cat 0.090465
scenario1 rep003 wLogDate 0.187959
scenario1 rep003 Blnorm 0.132101
scenario1 rep004 RelTime 0.0908593
scenario1 rep004 MD-Cat 0.0878843
scenario1 rep004 wLogDate 0.292431
scenario1 rep004 Blnorm 0.177136
scenario1 rep005 RelTime 0.0981157
scenario1 rep005 MD-Cat 0.0976764
scenario1 rep005 wLogDate 0.739571
scenario1 rep005 Blnorm 0.145027
scenario1 rep006 RelTime 0.09527
scenario1 rep006 MD-Cat 0.083295
scenario1 rep006 wLogDate 0.227831
scenario1 rep006 Blnorm 0.139815
scenario1 rep007 RelTime 0.0828329
scenario1 rep007 MD-Cat 0.112796
scenario1 rep007 wLogDate 0.154457
scenario1 rep007 Blnorm 0.145156
scenario1 rep008 RelTime 0.129454
scenario1 rep008 MD-Cat 0.138738
scenario1 rep008 wLogDate 0.15107
scenario1 rep008 Blnorm 0.158686
scenario1 rep009 RelTime 0.114587
scenario1 rep009 MD-Cat 0.111441
scenario1 rep009 wLogDate 0.265204
scenario1 rep009 Blnorm 0.19694
scenario1 rep010 RelTime 0.111376
scenario1 rep010 MD-Cat 0.100084
scenario1 rep010 wLogDate 0.212379
scenario1 rep010 Blnorm 0.174034
scenario1 rep011 RelTime 0.110054
scenario1 rep011 MD-Cat 0.113214
scenario1 rep011 wLogDate 0.12568
scenario1 rep011 Blnorm 0.174884
scenario1 rep012 RelTime 0.145646
scenario1 rep012 MD-Cat 0.144266
scenario1 rep012 wLogDate 0.163401
scenario1 rep012 Blnorm 0.172985
scenario1 rep013 RelTime 0.0792279
scenario1 rep013 MD-Cat 0.127461
scenario1 rep013 wLogDate 0.298811
scenario1 rep013 Blnorm 0.210484
scenario1 rep014 RelTime 0.08481
scenario1 rep014 MD-Cat 0.119379
scenario1 rep014 wLogDate 0.206552
scenario1 rep014 Blnorm 0.180301
scenario1 rep015 RelTime 0.100371
scenario1 rep015 MD-Cat 0.053444
scenario1 rep015 wLogDate 0.173929
scenario1 rep015 Blnorm 0.143694
scenario1 rep016 RelTime 0.114839
scenario1 rep016 MD-Cat 0.128386
scenario1 rep016 wLogDate 0.167018
scenario1 rep016 Blnorm 0.156794
scenario1 rep017 RelTime 0.153629
scenario1 rep017 MD-Cat 0.127707
scenario1 rep017 wLogDate 0.150319
scenario1 rep017 Blnorm 0.143119
scenario1 rep018 RelTime 0.130566
scenario1 rep018 MD-Cat 0.0988093
scenario1 rep018 wLogDate 0.131819
scenario1 rep018 Blnorm 0.160781
scenario1 rep019 RelTime 0.109523
scenario1 rep019 MD-Cat 0.134891
scenario1 rep019 wLogDate 0.178476
scenario1 rep019 Blnorm 0.159577
scenario1 rep020 RelTime 0.116509
scenario1 rep020 MD-Cat 0.114111
scenario1 rep020 wLogDate 0.154577
scenario1 rep020 Blnorm 0.195768
scenario1 rep021 RelTime 0.125485
scenario1 rep021 MD-Cat 0.121209
scenario1 rep021 wLogDate 0.173149
scenario1 rep021 Blnorm 0.150201
scenario1 rep022 RelTime 0.0944757
scenario1 rep022 MD-Cat 0.0757564
scenario1 rep022 wLogDate 0.160364
scenario1 rep022 Blnorm 0.120898
scenario1 rep023 RelTime 0.100074
scenario1 rep023 MD-Cat 0.0847643
scenario1 rep023 wLogDate 0.143704
scenario1 rep023 Blnorm 0.148209
scenario1 rep024 RelTime 0.0885443
scenario1 rep024 MD-Cat 0.0727886
scenario1 rep024 wLogDate 0.195657
scenario1 rep024 Blnorm 0.153505
scenario1 rep025 RelTime 0.0902329
scenario1 rep025 MD-Cat 0.105053
scenario1 rep025 wLogDate 0.365404
scenario1 rep025 Blnorm 0.117249
scenario1 rep026 RelTime 0.108289
scenario1 rep026 MD-Cat 0.100399
scenario1 rep026 wLogDate 0.156564
scenario1 rep026 Blnorm 0.132031
scenario1 rep027 RelTime 0.0876321
scenario1 rep027 MD-Cat 0.0994293
scenario1 rep027 wLogDate 0.146143
scenario1 rep027 Blnorm 0.126603
scenario1 rep028 RelTime 0.11178
scenario1 rep028 MD-Cat 0.0900286
scenario1 rep028 wLogDate 0.0913736
scenario1 rep028 Blnorm 0.109174
scenario1 rep029 RelTime 0.112659
scenario1 rep029 MD-Cat 0.102919
scenario1 rep029 wLogDate 0.132824
scenario1 rep029 Blnorm 0.134128
scenario1 rep030 RelTime 0.0944157
scenario1 rep030 MD-Cat 0.114643
scenario1 rep030 wLogDate 0.315256
scenario1 rep030 Blnorm 0.163396
scenario1 rep031 RelTime 0.105179
scenario1 rep031 MD-Cat 0.126294
scenario1 rep031 wLogDate 0.0870507
scenario1 rep031 Blnorm 0.134796
scenario1 rep032 RelTime 0.111994
scenario1 rep032 MD-Cat 0.104814
scenario1 rep032 wLogDate 0.1686
scenario1 rep032 Blnorm 0.120184
scenario1 rep033 RelTime 0.119754
scenario1 rep033 MD-Cat 0.120391
scenario1 rep033 wLogDate 0.120979
scenario1 rep033 Blnorm 0.142575
scenario1 rep034 RelTime 0.109157
scenario1 rep034 MD-Cat 0.0878464
scenario1 rep034 wLogDate 0.111917
scenario1 rep034 Blnorm 0.107944
scenario1 rep035 RelTime 0.0951057
scenario1 rep035 MD-Cat 0.0815971
scenario1 rep035 wLogDate 0.191515
scenario1 rep035 Blnorm 0.147922
scenario1 rep036 RelTime 0.0985579
scenario1 rep036 MD-Cat 0.132962
scenario1 rep036 wLogDate 0.251171
scenario1 rep036 Blnorm 0.173926
scenario1 rep037 RelTime 0.109503
scenario1 rep037 MD-Cat 0.101552
scenario1 rep037 wLogDate 0.34801
scenario1 rep037 Blnorm 0.182271
scenario1 rep038 RelTime 0.0872257
scenario1 rep038 MD-Cat 0.111403
scenario1 rep038 wLogDate 0.189257
scenario1 rep038 Blnorm 0.137748
scenario1 rep039 RelTime 0.0778471
scenario1 rep039 MD-Cat 0.110695
scenario1 rep039 wLogDate 0.20299
scenario1 rep039 Blnorm 0.153274
scenario1 rep040 RelTime 0.148168
scenario1 rep040 MD-Cat 0.10264
scenario1 rep040 wLogDate 0.183438
scenario1 rep040 Blnorm 0.179744
scenario1 rep041 RelTime 0.137421
scenario1 rep041 MD-Cat 0.126525
scenario1 rep041 wLogDate 0.219128
scenario1 rep041 Blnorm 0.143914
scenario1 rep042 RelTime 0.105656
scenario1 rep042 MD-Cat 0.0746436
scenario1 rep042 wLogDate 0.117556
scenario1 rep042 Blnorm 0.121142
scenario1 rep043 RelTime 0.111359
scenario1 rep043 MD-Cat 0.111629
scenario1 rep043 wLogDate 0.187009
scenario1 rep043 Blnorm 0.120044
scenario1 rep044 RelTime 0.107208
scenario1 rep044 MD-Cat 0.0759679
scenario1 rep044 wLogDate 0.188616
scenario1 rep044 Blnorm 0.109685
scenario1 rep045 RelTime 0.105847
scenario1 rep045 MD-Cat 0.150829
scenario1 rep045 wLogDate 0.587804
scenario1 rep045 Blnorm 0.159198
scenario1 rep046 RelTime 0.0961357
scenario1 rep046 MD-Cat 0.103606
scenario1 rep046 wLogDate 0.196391
scenario1 rep046 Blnorm 0.149366
scenario1 rep047 RelTime 0.113876
scenario1 rep047 MD-Cat 0.132085
scenario1 rep047 wLogDate 0.170146
scenario1 rep047 Blnorm 0.152032
scenario1 rep048 RelTime 0.123362
scenario1 rep048 MD-Cat 0.118574
scenario1 rep048 wLogDate 0.276786
scenario1 rep048 Blnorm 0.139807
scenario1 rep049 RelTime 0.10881
scenario1 rep049 MD-Cat 0.0992471
scenario1 rep049 wLogDate 0.146354
scenario1 rep049 Blnorm 0.134219
scenario1 rep050 RelTime 0.114946
scenario1 rep050 MD-Cat 0.0745807
scenario1 rep050 wLogDate 0.119861
scenario1 rep050 Blnorm 0.147716
scenario1 rep051 RelTime 0.0969964
scenario1 rep051 MD-Cat 0.102494
scenario1 rep051 wLogDate 0.186062
scenario1 rep051 Blnorm 0.149727
scenario1 rep052 RelTime 0.1122
scenario1 rep052 MD-Cat 0.0962879
scenario1 rep052 wLogDate 0.153329
scenario1 rep052 Blnorm 0.123141
scenario1 rep053 RelTime 0.139781
scenario1 rep053 MD-Cat 0.170536
scenario1 rep053 wLogDate 0.166491
scenario1 rep053 Blnorm 0.156147
scenario1 rep054 RelTime 0.125383
scenario1 rep054 MD-Cat 0.166261
scenario1 rep054 wLogDate 0.125875
scenario1 rep054 Blnorm 0.150808
scenario1 rep055 RelTime 0.121364
scenario1 rep055 MD-Cat 0.101196
scenario1 rep055 wLogDate 0.917179
scenario1 rep055 Blnorm 0.19323
scenario1 rep056 RelTime 0.0997186
scenario1 rep056 MD-Cat 0.0851321
scenario1 rep056 wLogDate 0.106559
scenario1 rep056 Blnorm 0.13799
scenario1 rep057 RelTime 0.129787
scenario1 rep057 MD-Cat 0.142254
scenario1 rep057 wLogDate 0.138611
scenario1 rep057 Blnorm 0.134436
scenario1 rep058 RelTime 0.115892
scenario1 rep058 MD-Cat 0.140684
scenario1 rep058 wLogDate 0.450202
scenario1 rep058 Blnorm 0.151731
scenario1 rep059 RelTime 0.0965879
scenario1 rep059 MD-Cat 0.0787114
scenario1 rep059 wLogDate 0.192411
scenario1 rep059 Blnorm 0.154194
scenario1 rep060 RelTime 0.0955536
scenario1 rep060 MD-Cat 0.09558
scenario1 rep060 wLogDate 0.194192
scenario1 rep060 Blnorm 0.126704
scenario1 rep061 RelTime 0.108712
scenario1 rep061 MD-Cat 0.108784
scenario1 rep061 wLogDate 0.215669
scenario1 rep061 Blnorm 0.141982
scenario1 rep062 RelTime 0.134077
scenario1 rep062 MD-Cat 0.108992
scenario1 rep062 wLogDate 0.196022
scenario1 rep062 Blnorm 0.181499
scenario1 rep063 RelTime 0.111907
scenario1 rep063 MD-Cat 0.126678
scenario1 rep063 wLogDate 0.202403
scenario1 rep063 Blnorm 0.142771
scenario1 rep064 RelTime 0.112586
scenario1 rep064 MD-Cat 0.168423
scenario1 rep064 wLogDate 0.220743
scenario1 rep064 Blnorm 0.180848
scenario1 rep065 RelTime 0.113151
scenario1 rep065 MD-Cat 0.149389
scenario1 rep065 wLogDate 0.183803
scenario1 rep065 Blnorm 0.131531
scenario1 rep066 RelTime 0.135041
scenario1 rep066 MD-Cat 0.133901
scenario1 rep066 wLogDate 0.155436
scenario1 rep066 Blnorm 0.143734
scenario1 rep067 RelTime 0.0975307
scenario1 rep067 MD-Cat 0.0711526
scenario1 rep067 wLogDate 0.141719
scenario1 rep067 Blnorm 0.130766
scenario1 rep068 RelTime 0.0990814
scenario1 rep068 MD-Cat 0.0985871
scenario1 rep068 wLogDate 0.144411
scenario1 rep068 Blnorm 0.120987
scenario1 rep069 RelTime 0.111758
scenario1 rep069 MD-Cat 0.132559
scenario1 rep069 wLogDate 0.169054
scenario1 rep069 Blnorm 0.141294
scenario1 rep070 RelTime 0.110879
scenario1 rep070 MD-Cat 0.110486
scenario1 rep070 wLogDate 0.345864
scenario1 rep070 Blnorm 0.124105
scenario1 rep071 RelTime 0.118629
scenario1 rep071 MD-Cat 0.123863
scenario1 rep071 wLogDate 0.14371
scenario1 rep071 Blnorm 0.144068
scenario1 rep072 RelTime 0.0996629
scenario1 rep072 MD-Cat 0.0693401
scenario1 rep072 wLogDate 0.249336
scenario1 rep072 Blnorm 0.177851
scenario1 rep073 RelTime 0.0882043
scenario1 rep073 MD-Cat 0.0769907
scenario1 rep073 wLogDate 0.523691
scenario1 rep073 Blnorm 0.165959
scenario1 rep074 RelTime 0.11482
scenario1 rep074 MD-Cat 0.248046
scenario1 rep074 wLogDate 0.164522
scenario1 rep074 Blnorm 0.169274
scenario1 rep075 RelTime 0.101756
scenario1 rep075 MD-Cat 0.114829
scenario1 rep075 wLogDate 0.164574
scenario1 rep075 Blnorm 0.115644
scenario1 rep076 RelTime 0.112219
scenario1 rep076 MD-Cat 0.125356
scenario1 rep076 wLogDate 0.258264
scenario1 rep076 Blnorm 0.139775
scenario1 rep077 RelTime 0.127269
scenario1 rep077 MD-Cat 0.0923121
scenario1 rep077 wLogDate 0.140163
scenario1 rep077 Blnorm 0.179732
scenario1 rep078 RelTime 0.113709
scenario1 rep078 MD-Cat 0.118322
scenario1 rep078 wLogDate 0.77515
scenario1 rep078 Blnorm 0.153697
scenario1 rep079 RelTime 0.07425
scenario1 rep079 MD-Cat 0.09287
scenario1 rep079 wLogDate 0.165163
scenario1 rep079 Blnorm 0.130494
scenario1 rep080 RelTime 0.127174
scenario1 rep080 MD-Cat 0.104913
scenario1 rep080 wLogDate 0.186469
scenario1 rep080 Blnorm 0.125559
scenario1 rep081 RelTime 0.101033
scenario1 rep081 MD-Cat 0.125622
scenario1 rep081 wLogDate 0.142922
scenario1 rep081 Blnorm 0.13019
scenario1 rep082 RelTime 0.110215
scenario1 rep082 MD-Cat 0.118649
scenario1 rep082 wLogDate 0.190546
scenario1 rep082 Blnorm 0.137119
scenario1 rep083 RelTime 0.155979
scenario1 rep083 MD-Cat 0.119911
scenario1 rep083 wLogDate 0.218666
scenario1 rep083 Blnorm 0.123024
scenario1 rep084 RelTime 0.0905307
scenario1 rep084 MD-Cat 0.07371
scenario1 rep084 wLogDate 0.171347
scenario1 rep084 Blnorm 0.117548
scenario1 rep085 RelTime 0.119128
scenario1 rep085 MD-Cat 0.122611
scenario1 rep085 wLogDate 0.161675
scenario1 rep085 Blnorm 0.164629
scenario1 rep086 RelTime 0.0920614
