scenario method rep error
scenario1 wLogDate rep001 1.5684081046499683
scenario1 MD-Cat rep001 0.6546266967048525
scenario1 wLogDate rep002 1.456441965585143
scenario1 MD-Cat rep002 0.8637758240608017
scenario1 wLogDate rep003 0.9765102062676574
scenario1 MD-Cat rep003 0.6726476688185887
scenario1 wLogDate rep004 1.1019574724105183
scenario1 MD-Cat rep004 0.6287668997015547
scenario1 wLogDate rep005 1.6204707813267367
scenario1 MD-Cat rep005 0.77680584117047
scenario1 wLogDate rep006 1.3088168154118631
scenario1 MD-Cat rep006 0.7356798292155498
scenario1 wLogDate rep007 0.9130249320256941
scenario1 MD-Cat rep007 0.720059627675153
scenario1 wLogDate rep008 1.271711861568079
scenario1 MD-Cat rep008 0.7614056533785488
scenario1 wLogDate rep009 1.4154966263262112
scenario1 MD-Cat rep009 0.7157719885800181
scenario1 wLogDate rep010 1.8556748907471
scenario1 MD-Cat rep010 0.7144918514411616
scenario1 wLogDate rep011 0.7452928839303025
scenario1 MD-Cat rep011 0.691827529213398
scenario1 wLogDate rep012 0.9010782312933548
scenario1 MD-Cat rep012 0.8800245666693652
scenario1 wLogDate rep013 1.8441848877085671
scenario1 MD-Cat rep013 0.695825499149176
scenario1 wLogDate rep014 0.8629069471330078
scenario1 MD-Cat rep014 0.6796096344205208
scenario1 wLogDate rep015 1.3894231404382429
scenario1 MD-Cat rep015 0.7886244529271853
scenario1 wLogDate rep016 1.3378423234034449
scenario1 MD-Cat rep016 0.7054535271865567
scenario1 wLogDate rep017 0.8176832081185577
scenario1 MD-Cat rep017 0.8078731202641847
scenario1 wLogDate rep018 1.6595754069835678
scenario1 MD-Cat rep018 0.8324506085890455
scenario1 wLogDate rep019 1.5401066477071783
scenario1 MD-Cat rep019 0.875523938563465
scenario1 wLogDate rep020 1.8184915783592472
scenario1 MD-Cat rep020 0.8807564729705882
scenario1 wLogDate rep021 1.5469589696633377
scenario1 MD-Cat rep021 0.7323612331679237
scenario1 wLogDate rep022 0.8139327138072345
scenario1 MD-Cat rep022 0.6195705532036327
scenario1 wLogDate rep023 0.7510021527565445
scenario1 MD-Cat rep023 0.661617216880081
scenario1 wLogDate rep024 1.06047319198018
scenario1 MD-Cat rep024 0.6187960652750193
scenario1 wLogDate rep025 1.538736718793898
scenario1 MD-Cat rep025 0.6550640383414174
scenario1 wLogDate rep026 0.847584442045286
scenario1 MD-Cat rep026 0.6943039558523104
scenario1 wLogDate rep027 1.119531576409901
scenario1 MD-Cat rep027 0.7525784525770572
scenario1 wLogDate rep028 0.964535445578338
scenario1 MD-Cat rep028 0.7216076383102881
scenario1 wLogDate rep029 1.0138415830721743
scenario1 MD-Cat rep029 0.687047149254812
scenario1 wLogDate rep030 1.249439251541651
scenario1 MD-Cat rep030 0.7016463731067911
scenario1 wLogDate rep031 1.2437429652530054
scenario1 MD-Cat rep031 0.8053429706971598
scenario1 wLogDate rep032 1.175547300435457
scenario1 MD-Cat rep032 0.7900102584869451
scenario1 wLogDate rep033 0.8319057008374239
scenario1 MD-Cat rep033 0.7600215570562082
scenario1 wLogDate rep034 1.0731025673545722
scenario1 MD-Cat rep034 0.6932170553564128
scenario1 wLogDate rep035 1.3675330525515006
scenario1 MD-Cat rep035 0.721811366224083
scenario1 wLogDate rep036 1.415908319176409
scenario1 MD-Cat rep036 0.8714296252631332
scenario1 wLogDate rep037 1.6915247550721975
scenario1 MD-Cat rep037 0.7812880556088311
scenario1 wLogDate rep038 1.565049063747945
scenario1 MD-Cat rep038 0.8251577344573685
scenario1 wLogDate rep039 1.3864878018796833
scenario1 MD-Cat rep039 0.8343701783041312
scenario1 wLogDate rep040 1.6253900505582957
