clockModel rep method brName estLength trueLength
scenario1 rep001 BEAST_rcla Acer 86.8325 98.3711
scenario1 rep001 BEAST_rcla Acorus 132.8168 127.036
scenario1 rep001 BEAST_rcla Amborella 154.9882 140
scenario1 rep001 BEAST_rcla Anacostia 4.1183 4.16305
scenario1 rep001 BEAST_rcla Antirrhinum 52.292 60.6895
scenario1 rep001 BEAST_rcla Apostasia 108.1553 106.078
scenario1 rep001 BEAST_rcla Aquifoliaceae 6.93 21.1453
scenario1 rep001 BEAST_rcla Araceae 12.2519 10.197
scenario1 rep001 BEAST_rcla Archaefructus 22.1149 11.6023
scenario1 rep001 BEAST_rcla Arecales 18.6113 15.2889
scenario1 rep001 BEAST_rcla Asarum 95.4884 121.448
scenario1 rep001 BEAST_rcla Ascarina 110.3464 115.555
scenario1 rep001 BEAST_rcla Atherosperma 102.6049 103.44
scenario1 rep001 BEAST_rcla Aucuba 74.2813 83.3077
scenario1 rep001 BEAST_rcla Austrobaileya 130.6247 130.663
scenario1 rep001 BEAST_rcla Berberidopsis 110.5212 112.621
scenario1 rep001 BEAST_rcla Brasenia 106.1104 94.8882
scenario1 rep001 BEAST_rcla Brunia 14.8421 56.548
scenario1 rep001 BEAST_rcla Bulnesia 106.589 106.358
scenario1 rep001 BEAST_rcla Calamus 86.9706 86.9999
scenario1 rep001 BEAST_rcla Calycanthus 107.5565 107.3
scenario1 rep001 BEAST_rcla Canella 126.4803 126.5
scenario1 rep001 BEAST_rcla Carya 94.9953 95.1
scenario1 rep001 BEAST_rcla Ceratophyllum 133.559 131.356
scenario1 rep001 BEAST_rcla Chloranthus 110.3464 115.555
scenario1 rep001 BEAST_rcla Cleome 71.0081 84.4731
scenario1 rep001 BEAST_rcla Cocculus 71.5192 100.372
scenario1 rep001 BEAST_rcla Coptis 71.5192 100.372
scenario1 rep001 BEAST_rcla Cornales 4.3373 10.9797
scenario1 rep001 BEAST_rcla Cornus 87.4544 87.2999
scenario1 rep001 BEAST_rcla Crossosoma 98.1058 107.331
scenario1 rep001 BEAST_rcla Cucumis 99.4353 102.69
scenario1 rep001 BEAST_rcla Daucus 13.7865 56.2306
scenario1 rep001 BEAST_rcla Dillenia 112.7085 113.96
scenario1 rep001 BEAST_rcla Dioscorea 110.9369 107.513
scenario1 rep001 BEAST_rcla Drimys 126.4803 126.5
scenario1 rep001 BEAST_rcla Eichhornia 84.537 90.7097
scenario1 rep001 BEAST_rcla Endressinia 17.5134 16.1691
scenario1 rep001 BEAST_rcla Enkianthus 85.0846 96.7737
scenario1 rep001 BEAST_rcla Escallonia 17.0172 56.9866
scenario1 rep001 BEAST_rcla Eucalyptus 87.5036 87.3
scenario1 rep001 BEAST_rcla Eupomatia 115.5203 115.5
scenario1 rep001 BEAST_rcla Euptelea 120.3793 121.234
scenario1 rep001 BEAST_rcla Fagales 4.44 7.58994
scenario1 rep001 BEAST_rcla Fagus 94.9953 95.0999
scenario1 rep001 BEAST_rcla Gossypium 71.0081 84.4734
scenario1 rep001 BEAST_rcla Grubbia 87.4544 87.3
scenario1 rep001 BEAST_rcla Gunnera 116.4934 115.719
scenario1 rep001 BEAST_rcla Hedycarya 101.4526 101.1
scenario1 rep001 BEAST_rcla Hedyosmum 119.8525 123.023
scenario1 rep001 BEAST_rcla Helianthus 46.9897 81.531
scenario1 rep001 BEAST_rcla Helwingia 66.4823 66.5
scenario1 rep001 BEAST_rcla I1 6.3729 1.89771
scenario1 rep001 BEAST_rcla I10 9.5061 7.46815
scenario1 rep001 BEAST_rcla I11 3.011 1.09851
scenario1 rep001 BEAST_rcla I12 19.5662 27.779
scenario1 rep001 BEAST_rcla I13 2.5016 0.185028
scenario1 rep001 BEAST_rcla I14 4.9516 3.86045
scenario1 rep001 BEAST_rcla I15 1.1545 1.09603
scenario1 rep001 BEAST_rcla I16 33.8892 8.94009
scenario1 rep001 BEAST_rcla I17 29.4274 45.9205
scenario1 rep001 BEAST_rcla I18 1.9937 0.164182
scenario1 rep001 BEAST_rcla I19 2.9707 5.83703
scenario1 rep001 BEAST_rcla I2 20.39 31.6116
scenario1 rep001 BEAST_rcla I20 7.0781 3.33915
scenario1 rep001 BEAST_rcla I21 9.4352 8.5569
scenario1 rep001 BEAST_rcla I22 1.0495 5.18713
scenario1 rep001 BEAST_rcla I23 4.3172 2.44022
scenario1 rep001 BEAST_rcla I24 1.8712 1.63732
scenario1 rep001 BEAST_rcla I25 5.2275 2.23768
scenario1 rep001 BEAST_rcla I26 2.5735 3.78906
