clockModel rep method tmrca
scenario1 rep001 BEAST_rcla -14.98819038489819
scenario1 rep001 BEAST_lnorm -52.32867030025713
scenario1 rep001 BEAST_strict -43.14750878831779
scenario1 rep002 BEAST_rcla -63.20585776258744
scenario1 rep002 BEAST_lnorm -76.37354936667134
scenario1 rep002 BEAST_strict -11.927911807701832
scenario1 rep003 BEAST_rcla -20.019952042171894
scenario1 rep003 BEAST_lnorm -70.19361319171986
scenario1 rep003 BEAST_strict -35.13921011394726
scenario1 rep004 BEAST_rcla -18.89685887824794
scenario1 rep004 BEAST_lnorm -100.66511905827252
scenario1 rep004 BEAST_strict -70.56262678920012
scenario1 rep005 BEAST_rcla -28.133271556509783
scenario1 rep005 BEAST_lnorm -71.88701659976655
scenario1 rep005 BEAST_strict -13.940812962080145
scenario1 rep006 BEAST_rcla -38.57729730890105
scenario1 rep006 BEAST_lnorm -84.59358986707937
scenario1 rep006 BEAST_strict -41.783934180233615
scenario1 rep007 BEAST_rcla -18.33315579783053
scenario1 rep007 BEAST_lnorm -89.97472357925315
scenario1 rep007 BEAST_strict -42.696885494345224
scenario1 rep008 BEAST_rcla -35.55567991480402
scenario1 rep008 BEAST_lnorm -96.94583958978771
scenario1 rep008 BEAST_strict -45.717237891191644
scenario1 rep009 BEAST_rcla -14.874556685408322
scenario1 rep009 BEAST_lnorm -64.91661835381228
scenario1 rep009 BEAST_strict -51.227277589458765
scenario1 rep010 BEAST_rcla -37.44919763467115
scenario1 rep010 BEAST_lnorm -106.80712532979086
scenario1 rep010 BEAST_strict -37.774153354167254
scenario1 rep011 BEAST_rcla -19.57136986625386
scenario1 rep011 BEAST_lnorm -93.69436327416787
scenario1 rep011 BEAST_strict -46.10933366127321
scenario1 rep012 BEAST_rcla -35.640561309536025
scenario1 rep012 BEAST_lnorm -74.2035766693472
scenario1 rep012 BEAST_strict -12.206184984787882
scenario1 rep013 BEAST_rcla -48.28081810704333
scenario1 rep013 BEAST_lnorm -83.20494594482344
scenario1 rep013 BEAST_strict -46.88565857853038
scenario1 rep014 BEAST_rcla -38.37756374299903
scenario1 rep014 BEAST_lnorm -88.79297783961101
scenario1 rep014 BEAST_strict -42.003018767913034
scenario1 rep015 BEAST_rcla -35.842073051106325
scenario1 rep015 BEAST_lnorm -57.99144768602815
scenario1 rep015 BEAST_strict -3.871661345356074
scenario1 rep016 BEAST_rcla -16.147463616340985
scenario1 rep016 BEAST_lnorm -82.67570917552663
scenario1 rep016 BEAST_strict -26.338648895530554
scenario1 rep017 BEAST_rcla -25.327805185059333
scenario1 rep017 BEAST_lnorm -47.943202602059785
scenario1 rep017 BEAST_strict -12.31575999834655
scenario1 rep018 BEAST_rcla -28.577516777768892
scenario1 rep018 BEAST_lnorm -56.70935127636392
scenario1 rep018 BEAST_strict -25.029443201218527
scenario1 rep019 BEAST_rcla -13.871893892243065
scenario1 rep019 BEAST_lnorm -69.75036178228211
scenario1 rep019 BEAST_strict -23.60652646319039
scenario1 rep020 BEAST_rcla -51.57419009749876
scenario1 rep020 BEAST_lnorm -55.054046573930066
scenario1 rep020 BEAST_strict -15.409452576548745
scenario1 rep021 BEAST_rcla -83.22787233962379
scenario1 rep021 BEAST_lnorm -60.943297239319264
scenario1 rep021 BEAST_strict -24.80411033448476
scenario1 rep022 BEAST_rcla -28.2446402950234
scenario1 rep022 BEAST_lnorm -90.70186556727296
scenario1 rep022 BEAST_strict -34.13427964366093
scenario1 rep023 BEAST_rcla -67.40014523055146
scenario1 rep023 BEAST_lnorm -61.36055245409315
scenario1 rep023 BEAST_strict -28.90257936757783
scenario1 rep024 BEAST_rcla -79.5345589016826
scenario1 rep024 BEAST_lnorm -99.35964965660406
scenario1 rep024 BEAST_strict -44.06236423709015
scenario1 rep025 BEAST_rcla -76.43788303718586
scenario1 rep025 BEAST_lnorm -72.41383778559572
scenario1 rep025 BEAST_strict -38.76430822082571
scenario1 rep026 BEAST_rcla -17.179666678882086
scenario1 rep026 BEAST_lnorm -86.71235314397984
scenario1 rep026 BEAST_strict -61.03207613995812
scenario1 rep027 BEAST_rcla -47.87122209009655
scenario1 rep027 BEAST_lnorm -71.17120850576123
scenario1 rep027 BEAST_strict -26.32343037838487
scenario1 rep028 BEAST_rcla -86.14856658452862
scenario1 rep028 BEAST_lnorm -72.32936494426343
scenario1 rep028 BEAST_strict -13.629419693660452
scenario1 rep029 BEAST_rcla -47.782805558192166
scenario1 rep029 BEAST_lnorm -72.90741164088965
scenario1 rep029 BEAST_strict -13.238501141949001
scenario1 rep030 BEAST_rcla -50.2382773795635
scenario1 rep030 BEAST_lnorm -66.39774510028525
scenario1 rep030 BEAST_strict -53.82198596975104
scenario1 rep031 BEAST_rcla -31.467642349886802
scenario1 rep031 BEAST_lnorm -66.74234013909742
scenario1 rep031 BEAST_strict -26.412172134290103
scenario1 rep032 BEAST_rcla -42.80257390539589
scenario1 rep032 BEAST_lnorm -64.32195696004817
scenario1 rep032 BEAST_strict -15.754237418461628
scenario1 rep033 BEAST_rcla -20.295306937801257
scenario1 rep033 BEAST_lnorm -78.34552652825744
scenario1 rep033 BEAST_strict -45.37581178196979
scenario1 rep034 BEAST_rcla -7.885459706347518
scenario1 rep034 BEAST_lnorm -72.49325321109546
scenario1 rep034 BEAST_strict -34.562461098880334
scenario1 rep035 BEAST_rcla -42.853442313676226
scenario1 rep035 BEAST_lnorm -82.79587884049329
scenario1 rep035 BEAST_strict -41.69556767253323
scenario1 rep036 BEAST_rcla -26.953409971671334
scenario1 rep036 BEAST_lnorm -95.25748346733886
scenario1 rep036 BEAST_strict -61.125598320684816
scenario1 rep037 BEAST_rcla -24.466218353768568
scenario1 rep037 BEAST_lnorm -119.9803388839336
scenario1 rep037 BEAST_strict -101.9505571122836
scenario1 rep038 BEAST_rcla -71.51497659249202
scenario1 rep038 BEAST_lnorm -57.45323713878727
scenario1 rep038 BEAST_strict -12.306629640137828
scenario1 rep039 BEAST_rcla -43.32068025871925
scenario1 rep039 BEAST_lnorm -86.34484853630357
scenario1 rep039 BEAST_strict -48.928652501272865
