"scenario" "rep" "k" "nodeName" "trueNodeAge" "estNodeAge" "error"
"1" "scenario1" "rep001" 10 "I0" 0 -3.2607 0.0232907142857143
"2" "scenario1" "rep001" 10 "I1" 1.89772 -2.8586 0.0339737142857143
"3" "scenario1" "rep001" 10 "I10" 24.4452 9.9853 0.103285
"4" "scenario1" "rep001" 10 "I11" 8.33087 2.5309 0.0414283571428571
"5" "scenario1" "rep001" 10 "I12" 52.2788 45.0016 0.0519799999999999
"6" "scenario1" "rep001" 10 "I13" 8.5159 2.7992 0.0408335714285714
"7" "scenario1" "rep001" 10 "I14" 36.5605 38.4206 0.0132864285714286
"8" "scenario1" "rep001" 10 "I15" 9.61193 3.0679 0.0467430714285714
"9" "scenario1" "rep001" 10 "I16" 18.552 16.2245 0.016625
"10" "scenario1" "rep001" 10 "I17" 64.4724 97.953 0.239147142857143
"11" "scenario1" "rep001" 10 "I18" 7.12688 2.9274 0.0299962857142857
"12" "scenario1" "rep001" 10 "I19" 12.9639 3.6971 0.0661914285714286
"13" "scenario1" "rep001" 10 "I2" 45.1116 18.7375 0.188386428571429
"14" "scenario1" "rep001" 10 "I20" 16.3031 7.5143 0.0627771428571429
"15" "scenario1" "rep001" 10 "I21" 24.8599 19.1113 0.0410614285714286
"16" "scenario1" "rep001" 10 "I22" 30.0471 19.5235 0.0751685714285714
"17" "scenario1" "rep001" 10 "I23" 32.4873 48.9994 0.117943571428571
"18" "scenario1" "rep001" 10 "I24" 31.6844 21.0877 0.0756907142857143
"19" "scenario1" "rep001" 10 "I25" 33.9221 26.7543 0.0511985714285714
"20" "scenario1" "rep001" 10 "I26" 37.7111 28.6638 0.0646235714285714
"21" "scenario1" "rep001" 10 "I27" 39.3061 29.0584 0.0731978571428572
"22" "scenario1" "rep001" 10 "I28" 49.2904 69.4479 0.143982142857143
"23" "scenario1" "rep001" 10 "I29" 54.541 35.9995 0.132439285714286
"24" "scenario1" "rep001" 10 "I3" 53.1728 26.3601 0.191519285714286
"25" "scenario1" "rep001" 10 "I30" 8.64398 3.4057 0.0374162857142857
"26" "scenario1" "rep001" 10 "I31" 18.7662 19.2765 0.00364499999999998
"27" "scenario1" "rep001" 10 "I32" 20.3792 19.7497 0.00449642857142857
"28" "scenario1" "rep001" 10 "I33" 39.6276 67.0524 0.195891428571429
"29" "scenario1" "rep001" 10 "I34" 15.3699 13.9735 0.00997428571428571
"30" "scenario1" "rep001" 10 "I35" 16.5318 16.1716 0.00257285714285714
"31" "scenario1" "rep001" 10 "I36" 17.1885 35.9088 0.133716428571429
"32" "scenario1" "rep001" 10 "I37" 18.0794 36.2867 0.130052142857143
"33" "scenario1" "rep001" 10 "I38" 24.2807 38.9483 0.104768571428571
"34" "scenario1" "rep001" 10 "I39" 25.3912 39.2992 0.0993428571428571
"35" "scenario1" "rep001" 10 "I4" 4.29313 -0.4402 0.0338095
"36" "scenario1" "rep001" 10 "I40" 26.2688 39.6248 0.0954
"37" "scenario1" "rep001" 10 "I41" 27.3794 40.8578 0.0962742857142857
"38" "scenario1" "rep001" 10 "I42" 33.9127 43.5177 0.0686071428571428
"39" "scenario1" "rep001" 10 "I43" 41.7203 50.8124 0.0649435714285714
"40" "scenario1" "rep001" 10 "I44" 43.2265 65.2614 0.157392142857143
"41" "scenario1" "rep001" 10 "I45" 48.2767 69.6487 0.152657142857143
"42" "scenario1" "rep001" 10 "I46" 56.6923 70.0995 0.0957657142857143
"43" "scenario1" "rep001" 10 "I47" 76.9586 97.3575 0.145706428571429
"44" "scenario1" "rep001" 10 "I48" 79.3105 97.9197 0.132922857142857
"45" "scenario1" "rep001" 10 "I49" 52.3546 70.0867 0.126657857142857
"46" "scenario1" "rep001" 10 "I5" 9.33696 13.0407 0.0264552857142857
"47" "scenario1" "rep001" 10 "I50" 58.469 96.6067 0.272412142857143
"48" "scenario1" "rep001" 10 "I51" 83.0134 124.3815 0.295486428571429
"49" "scenario1" "rep001" 10 "I52" 83.4521 124.8274 0.295537857142857
"50" "scenario1" "rep001" 10 "I53" 83.7694 125.7513 0.299870714285714
"51" "scenario1" "rep001" 10 "I54" 87.5096 134.0105 0.332149285714286
"52" "scenario1" "rep001" 10 "I55" 26.0402 39.7742 0.0981
"53" "scenario1" "rep001" 10 "I56" 26.8496 40.9171 0.100482142857143
"54" "scenario1" "rep001" 10 "I57" 28.4881 41.4059 0.09227
"55" "scenario1" "rep001" 10 "I58" 45.7523 41.9152 0.0274078571428571
"56" "scenario1" "rep001" 10 "I59" 89.2963 73.8754 0.110149285714286
"57" "scenario1" "rep001" 10 "I6" 33.1967 27.7558 0.0388635714285714
"58" "scenario1" "rep001" 10 "I60" 31.2313 41.3013 0.0719285714285714
"59" "scenario1" "rep001" 10 "I61" 31.807 42.6851 0.0777007142857143
"60" "scenario1" "rep001" 10 "I62" 34.9944 43.8775 0.0634507142857143
"61" "scenario1" "rep001" 10 "I63" 32.6694 43.1671 0.0749835714285714
"62" "scenario1" "rep001" 10 "I64" 33.8687 45.2192 0.081075
"63" "scenario1" "rep001" 10 "I65" 41.6289 47.6241 0.0428228571428571
"64" "scenario1" "rep001" 10 "I66" 44.4088 50.4579 0.0432078571428572
"65" "scenario1" "rep001" 10 "I67" 55.5269 54.4863 0.00743285714285713
"66" "scenario1" "rep001" 10 "I68" 33.642 41.6615 0.0572821428571428
"67" "scenario1" "rep001" 10 "I69" 33.6432 42.0085 0.0597521428571428
"68" "scenario1" "rep001" 10 "I7" 6.9627 1.9616 0.0357221428571429
"69" "scenario1" "rep001" 10 "I70" 39.5374 90.0176 0.360572857142857
"70" "scenario1" "rep001" 10 "I71" 41.25 91.4784 0.358774285714286
"71" "scenario1" "rep001" 10 "I72" 35.6755 42.3635 0.0477714285714286
"72" "scenario1" "rep001" 10 "I73" 36.3187 43.2389 0.04943
"73" "scenario1" "rep001" 10 "I74" 37.3101 43.6167 0.0450471428571429
"74" "scenario1" "rep001" 10 "I8" 7.23236 2.2479 0.0356032857142857
"75" "scenario1" "rep001" 10 "I9" 16.9771 7.2262 0.0696492857142857
"151" "scenario1" "rep001" 25 "I0" 0 0.3006 0.00214714285714286
"152" "scenario1" "rep001" 25 "I1" 1.89772 0.8411 0.00754728571428571
"153" "scenario1" "rep001" 25 "I10" 24.4452 75.2611 0.362970714285714
"154" "scenario1" "rep001" 25 "I11" 8.33087 9.6058 0.00910664285714285
"155" "scenario1" "rep001" 25 "I12" 52.2788 29.1718 0.16505
"156" "scenario1" "rep001" 25 "I13" 8.5159 10.1898 0.0119564285714286
"157" "scenario1" "rep001" 25 "I14" 36.5605 38.2972 0.012405
"158" "scenario1" "rep001" 25 "I15" 9.61193 10.6698 0.00755621428571429
"159" "scenario1" "rep001" 25 "I16" 18.552 23.2394 0.0334814285714286
"160" "scenario1" "rep001" 25 "I17" 64.4724 65.017 0.00389000000000002
