scenario rep k nodeName trueNodeAge estNodeAge
scenario1 rep001 3 I0 0 4.9434
scenario1 rep001 3 I1 1.89772 5.1975
scenario1 rep001 3 I10 24.4452 81.1934
scenario1 rep001 3 I11 8.33087 7.6938
scenario1 rep001 3 I12 52.2788 27.2029
scenario1 rep001 3 I13 8.5159 7.9047
scenario1 rep001 3 I14 36.5605 38.6165
scenario1 rep001 3 I15 9.61193 8.1023
scenario1 rep001 3 I16 18.552 21.7276
scenario1 rep001 3 I17 64.4724 85.646
scenario1 rep001 3 I18 7.12688 7.5023
scenario1 rep001 3 I19 12.9639 7.8681
scenario1 rep001 3 I2 45.1116 18.8848
scenario1 rep001 3 I20 16.3031 10.4838
scenario1 rep001 3 I21 24.8599 41.8966
scenario1 rep001 3 I22 30.0471 42.1145
scenario1 rep001 3 I23 32.4873 44.4919
scenario1 rep001 3 I24 31.6844 42.834
scenario1 rep001 3 I25 33.9221 44.4936
scenario1 rep001 3 I26 37.7111 45.0206
scenario1 rep001 3 I27 39.3061 45.3032
scenario1 rep001 3 I28 49.2904 49.6512
scenario1 rep001 3 I29 54.541 48.3514
scenario1 rep001 3 I3 53.1728 106.8799
scenario1 rep001 3 I30 8.64398 7.746
scenario1 rep001 3 I31 18.7662 47.2132
scenario1 rep001 3 I32 20.3792 47.5133
scenario1 rep001 3 I33 39.6276 129.3733
scenario1 rep001 3 I34 15.3699 13.7612
scenario1 rep001 3 I35 16.5318 28.7996
scenario1 rep001 3 I36 17.1885 14.9093
scenario1 rep001 3 I37 18.0794 15.2073
scenario1 rep001 3 I38 24.2807 41.5255
scenario1 rep001 3 I39 25.3912 41.8521
scenario1 rep001 3 I4 4.29313 6.1504
scenario1 rep001 3 I40 26.2688 42.2601
scenario1 rep001 3 I41 27.3794 43.7481
scenario1 rep001 3 I42 33.9127 46.081
scenario1 rep001 3 I43 41.7203 50.7461
scenario1 rep001 3 I44 43.2265 69.8858
scenario1 rep001 3 I45 48.2767 71.5773
scenario1 rep001 3 I46 56.6923 71.8504
scenario1 rep001 3 I47 76.9586 77.3208
scenario1 rep001 3 I48 79.3105 77.8147
scenario1 rep001 3 I49 52.3546 71.8773
scenario1 rep001 3 I5 9.33696 13.293
scenario1 rep001 3 I50 58.469 115.2378
scenario1 rep001 3 I51 83.0134 131.1842
scenario1 rep001 3 I52 83.4521 131.5115
scenario1 rep001 3 I53 83.7694 132.1229
scenario1 rep001 3 I54 87.5096 133.6616
scenario1 rep001 3 I55 26.0402 42.0916
scenario1 rep001 3 I56 26.8496 42.5728
scenario1 rep001 3 I57 28.4881 42.8573
scenario1 rep001 3 I58 45.7523 43.1557
scenario1 rep001 3 I59 89.2963 101.7813
scenario1 rep001 3 I6 33.1967 41.8086
scenario1 rep001 3 I60 31.2313 42.8143
scenario1 rep001 3 I61 31.807 50.5463
scenario1 rep001 3 I62 34.9944 51.2096
scenario1 rep001 3 I63 32.6694 50.8428
scenario1 rep001 3 I64 33.8687 54.0332
scenario1 rep001 3 I65 41.6289 83.2381
scenario1 rep001 3 I66 44.4088 89.1155
scenario1 rep001 3 I67 55.5269 125.3883
scenario1 rep001 3 I68 33.642 43.063
scenario1 rep001 3 I69 33.6432 43.3134
scenario1 rep001 3 I7 6.9627 7.203
scenario1 rep001 3 I70 39.5374 107.5756
scenario1 rep001 3 I71 41.25 108.3649
scenario1 rep001 3 I72 35.6755 43.5406
scenario1 rep001 3 I73 36.3187 43.9497
scenario1 rep001 3 I74 37.3101 44.1418
scenario1 rep001 3 I8 7.23236 7.4519
scenario1 rep001 3 I9 16.9771 56.6411
scenario1 rep002 3 I0 0 7.653
scenario1 rep002 3 I1 1.89772 8.1673
scenario1 rep002 3 I10 24.4452 11.5719
scenario1 rep002 3 I11 8.33087 10.7515
scenario1 rep002 3 I12 52.2788 30.2554
scenario1 rep002 3 I13 8.5159 11.1013
scenario1 rep002 3 I14 36.5605 38.5147
scenario1 rep002 3 I15 9.61193 11.4705
scenario1 rep002 3 I16 18.552 18.1902
scenario1 rep002 3 I17 64.4724 22.5329
scenario1 rep002 3 I18 7.12688 12.8446
scenario1 rep002 3 I19 12.9639 17.6033
scenario1 rep002 3 I2 45.1116 41.0886
scenario1 rep002 3 I20 16.3031 18.0176
scenario1 rep002 3 I21 24.8599 36.6156
scenario1 rep002 3 I22 30.0471 41.2805
scenario1 rep002 3 I23 32.4873 82.5137
scenario1 rep002 3 I24 31.6844 43.7643
scenario1 rep002 3 I25 33.9221 43.9679
scenario1 rep002 3 I26 37.7111 44.5538
scenario1 rep002 3 I27 39.3061 44.7445
scenario1 rep002 3 I28 49.2904 48.2898
scenario1 rep002 3 I29 54.541 75.1098
scenario1 rep002 3 I3 53.1728 45.421
scenario1 rep002 3 I30 8.64398 13.499
scenario1 rep002 3 I31 18.7662 94.4929
scenario1 rep002 3 I32 20.3792 102.5633
scenario1 rep002 3 I33 39.6276 115.0566
scenario1 rep002 3 I34 15.3699 13.5695
scenario1 rep002 3 I35 16.5318 14.6683
scenario1 rep002 3 I36 17.1885 13.7351
scenario1 rep002 3 I37 18.0794 14.0448
scenario1 rep002 3 I38 24.2807 37.747
scenario1 rep002 3 I39 25.3912 38.447
