treeModel rep clockModel nodeID trueTime estTime p0025 p0975
D750_11_10 rep001 trilnormcave 000001 3.15613 4.4813 3.248103109235151 8.050747267475538
D750_11_10 rep001 trilnormcave 000002 8.16313 9.5216 6.677055762954363 14.806007404149376 
D750_11_10 rep001 trilnormcave 000003 2.56413 4.3098 2.8657856926626657 6.406554311006417
D750_11_10 rep001 trilnormcave 000004 1.73716 0.9408 0.14018551307357396 3.058934908839612
D750_11_10 rep001 trilnormcave 000005 4.10056 5.7521 4.187578212520922 9.594938395906219 
D750_11_10 rep001 trilnormcave 000006 3.27656 2.6283 1.4677816071108436 4.573452092385829 
D750_11_10 rep001 trilnormcave 000007 2.09532 1.9251 0.8386509191869594 3.0525265481768313
D750_11_10 rep001 trilnormcave 000008 3.55249 4.4161 2.9662606676150216 7.738668572667275
D750_11_10 rep001 trilnormcave 000009 5.48045 7.4893 5.621758948966806 11.887311810221684
D750_11_10 rep001 trilnormcave 000010 3.43883 3.5077 2.4533855578649653 6.679549128632193
D750_11_10 rep001 trilnormcave 000011 7.61489 9.661 7.681971084326689 12.775757747543752
D750_11_10 rep001 trilnormcave 000012 6.82193 7.9177 4.71472706292465 8.632788454538833
D750_11_10 rep001 trilnormcave 000013 5.93733 4.8802 2.485120052263286 5.670925559616175
D750_11_10 rep001 trilnormcave 000014 2.65546 2.8476 1.3976585256254437 4.168892122395198
D750_11_10 rep001 trilnormcave 000015 5.15613 6.4813 1.8931084810135823 8.436066581836796
D750_11_10 rep001 trilnormcave 000016 5.29058 5.9788 2.9764855757555195 10.930596810410698 
D750_11_10 rep001 trilnormcave 000017 4.53045 4.6995 3.1921663569350964 8.331070216474359
D750_11_10 rep001 trilnormcave 000018 3.77613 4.2295 2.717317147654421 6.327879264329459
D750_11_10 rep001 trilnormcave 000019 2.37726 3.5662 2.149735309507225 5.239418296733633
D750_11_10 rep001 trilnormcave 000020 5.63951 8.8748 6.703277534974747 13.666811314879853
D750_11_10 rep001 trilnormcave 000021 1.40769 4.1396 2.4695386917440296 5.8967759659310275
D750_11_10 rep001 trilnormcave 000022 7.55249 8.4161 6.120082248190113 10.928720975946637
D750_11_10 rep001 trilnormcave 000023 4.37726 5.5662 3.833880176958249 7.700981473079699
D750_11_10 rep001 trilnormcave 000024 6.73585 7.2894 4.428877614087136 8.229563757110625
D750_11_10 rep001 trilnormcave 000025 8.1766 8.3087 5.730663807377765 16.034516657457942
D750_11_10 rep001 trilnormcave 000026 5.73715 4.9408 1.7715093421520147 8.507946848496339
D750_11_10 rep001 trilnormcave 000027 0.95212 1.8308 0.749645057504218 3.0293070934254844
D750_11_10 rep001 trilnormcave 000028 0.9803 0.9469 0.3254869772145887 2.2858218963373105
D750_11_10 rep001 trilnormcave 000029 3.17173 1.536 0.3212606109209839 3.8994835246697486
D750_11_10 rep001 trilnormcave 000030 8.40138 9.3739 6.867450159782495 11.68353683039368
D750_11_10 rep001 trilnormcave 000031 6.855 7.8217 5.2635298050416734 9.639086893456955
D750_11_10 rep001 trilnormcave 000032 2.9803 2.9469 1.2999611406594946 3.7867024002205287
D750_11_10 rep001 trilnormcave 000033 2.82401 3.8829 1.8608897248051317 4.902199164089578
D750_11_10 rep001 trilnormcave 000034 10.005 7.567 5.764236713708844 12.010998591488434
D750_11_10 rep001 trilnormcave 000035 9.33348 11.6959 8.870049819514348 16.853446160636548
D750_11_10 rep001 trilnormcave 000036 9.16903 10.6257 7.606740244635599 12.585155391347437
D750_11_10 rep001 trilnormcave 000037 10.4321 10.9484 8.492415493430626 13.858248601997815 
D750_11_10 rep001 trilnormcave 000038 7.56946 9.4943 8.07558715377952 13.107210995674551
D750_11_10 rep001 trilnormcave 000039 9.93732 8.8802 6.498928812691822 11.435926242675656
D750_11_10 rep001 trilnormcave 000040 2.05893 3.2999 1.919856212003512 4.952459117215907 
D750_11_10 rep001 trilnormcave 000041 9.92145 10.8048 7.881098501777905 13.168319917182687
D750_11_10 rep001 trilnormcave 000042 5.77613 6.0691 2.6917002030604578 10.08532504462016
D750_11_10 rep001 trilnormcave 000043 9.13328 8.0094 6.688975851567378 16.662130128584646 
D750_11_10 rep001 trilnormcave 000044 1.98851 2.2169 1.1174535697530554 3.9184907360105017
D750_11_10 rep001 trilnormcave 000045 4.92722 5.5069 1.5608853532433913 7.8146754347688905 
D750_11_10 rep001 trilnormcave 000046 1.09887 0.7612 0.10596669960694395 2.1893853280828055 
D750_11_10 rep001 trilnormcave 000047 11.5191 12.2217 9.001580441885185 14.303492773235655 
D750_11_10 rep001 trilnormcave 000048 10.2174 10.8584 6.125648062753547 10.675075364502055
D750_11_10 rep001 trilnormcave 000049 10.2174 10.8584 9.166593242939014 15.682803389993145
D750_11_10 rep001 trilnormcave 000050 2.59538 2.3729 1.063337078552043 3.5002082947783846
D750_11_10 rep001 trilnormcave 000051 0.214357 0.8087 0.001 2.6696861648333226 
D750_11_10 rep001 trilnormcave 000052 9.17173 7.536 5.4632211662456305 11.242374633506147
D750_11_10 rep001 trilnormcave 000053 13.6395 16.8748 14.871251835900427 21.461770773089995
D750_11_10 rep001 trilnormcave 000054 10.6555 10.8476 7.920600667864771 13.365041284999613
D750_11_10 rep001 trilnormcave 000055 14.2028 15.236 12.737798868140835 18.856775718608226 
D750_11_10 rep001 trilnormcave 000056 6.89467 7.0221 5.113331294220768 9.904092480928826 
D750_11_10 rep001 trilnormcave 000057 14.4014 15.3739 10.987845201420743 16.957641871119446
D750_11_10 rep001 trilnormcave 000058 12.3954 13.2896 9.938685836450935 19.00441725928096
D750_11_10 rep001 trilnormcave 000059 7.40769 10.1396 8.383313539144135 13.67177603691446
D750_11_10 rep001 trilnormcave 000060 2.61955 2.2804 0.9397687599841431 3.4459966919292695 
D750_11_10 rep001 trilnormcave 000061 5.62175 7.0144 4.936546136146059 9.267790958686541
D750_11_10 rep001 trilnormcave 000062 4.19937 5.3282 3.298244590616907 7.251096788195106
D750_11_10 rep001 trilnormcave 000063 5.34042 8.2041 5.820743205857154 12.67228823268965
D750_11_10 rep001 trilnormcave 000064 3.41536 3.9492 3.339605894129992 7.2769914151390545
D750_11_10 rep001 trilnormcave 000065 7.59536 5.8496 4.45314545742514 10.224578895101216
D750_11_10 rep001 trilnormcave 000066 16.1766 16.3087 14.915447386047028 21.229831643753588
D750_11_10 rep001 trilnormcave 000067 1.02657 0.7383 0.19832769076178877 1.905287809759305
D750_11_10 rep001 trilnormcave 000068 3.2519 6.0278 3.847257074515788 11.973601234435403 
D750_11_10 rep001 trilnormcave 000069 7.59536 5.8496 4.384393599608738 10.010689573812584
D750_11_10 rep001 trilnormcave 000070 3.93242 4.4278 2.087774733159434 5.17170144654513
D750_11_10 rep001 trilnormcave 000071 8.59538 8.3729 6.717965382845187 12.115982419952815
D750_11_10 rep001 trilnormcave 000072 17.3928 18.1046 15.893050932321138 22.78893364630206 
D750_11_10 rep001 trilnormcave 000073 3.12694 4.6731 2.90784418807464 6.501661292501874 
D750_11_10 rep001 trilnormcave 000074 0.224438 0.1686 0.001 1.0100566972425793
D750_11_10 rep001 trilnormcave 000075 3.02657 2.7383 1.4525221970565807 4.328217669008627
D750_11_10 rep001 trilnormcave 000076 11.8574 11.9734 8.854136998662842 20.603111611475512 
D750_11_10 rep001 trilnormcave 000077 17.6576 20.0807 10.9831485768611 24.162807462204334 
D750_11_10 rep001 trilnormcave 000078 10.9521 11.8308 8.756151506401293 14.295161841999667
D750_11_10 rep001 trilnormcave 000079 3.91602 3.4607 1.8101410198259482 4.8734204336049025 
D750_11_10 rep001 trilnormcave 000080 1.55668 3.107 1.7776363907005563 4.99982325640513 
D750_11_10 rep001 trilnormcave 000081 0.131387 0.1148 0.001 0.7639325419446393
D750_11_10 rep001 trilnormcave 000082 9.34041 12.2041 6.910513274882207 16.928045971773514
D750_11_10 rep001 trilnormcave 000083 2.60192 3.4685 2.143873619597581 6.117044981176679
D750_11_10 rep001 trilnormcave 000084 18.5304 18.6995 15.217835105659075 30.803416731329776
D750_11_10 rep001 trilnormcave 000085 9.59537 8.7966 6.4126848113913075 13.700442313278947 
D750_11_10 rep001 trilnormcave 000086 7.33314 5.5703 3.534397549781525 7.055180996259676
D750_11_10 rep001 trilnormcave 000087 2.22443 2.1686 1.434165539641787 4.4497981254434045
D750_11_10 rep001 trilnormcave 000088 19.0934 20.2046 11.51690253233047 23.44843200582453
D750_11_10 rep001 trilnormcave 000089 8.5356 13.4478 8.170671827586958 20.130642069979583
D750_11_10 rep001 trilnormcave 000090 9.62175 11.0144 9.192106869653562 14.324280712998346
D750_11_10 rep001 trilnormcave 000091 3.73237 4.1194 2.3748877750510666 5.596328641013568
D750_11_10 rep001 trilnormcave 000092 5.59536 8.0498 6.944845064390235 17.84964660606453
D750_11_10 rep001 trilnormcave 000093 9.33314 7.5703 5.104624234137598 9.395802850065593
D750_11_10 rep001 trilnormcave 000094 1.94347 3.3376 1.9998002229617402 5.374518568858965
D750_11_10 rep001 trilnormcave 000095 4.60193 5.4685 3.392214451526816 7.223330705729623
D750_11_10 rep001 trilnormcave 000096 9.41538 9.9492 3.206721757453819 10.976060901041771
D750_11_10 rep001 trilnormcave 000097 2.81892 0.6251 0.08270684967084503 1.7130274449118168
D750_11_10 rep001 trilnormcave 000098 1.36993 2.1776 1.018993268855475 3.546032755463585
D750_11_10 rep001 trilnormcave 000099 10.5355 15.4478 13.472023069308834 20.011218431885002
D750_11_10 rep001 trilnormcave 000100 1.36993 2.1776 1.1636535893782283 3.8585765879674345
D750_11_10 rep001 trilnormcave 000101 7.59536 10.0498 7.726777488613248 14.860751423275923
D750_11_10 rep001 trilnormcave 000102 5.73237 6.1194 5.309270571478367 9.781138147952042
D750_11_10 rep001 trilnormcave 000103 4.81892 2.6251 0.8880438564354782 4.664391195272207
D750_11_10 rep001 trilnormcave 000104 4.13139 4.1148 0.001 4.714243810733095
D750_11_10 rep001 trilnormcave 000105 14.0909 13.8755 9.53335787665635 21.649767014326876 
D750_11_10 rep001 trilnormcave 000106 3.94347 5.3376 3.0082211735165236 6.717455038856533
D750_11_10 rep001 trilnormcave 000107 0.639644 0.2686 0.001 1.0750253632714728
D750_11_10 rep001 trilnormcave 000108 24.7428 25.5367 21.762028897322512 29.539238607799433
D750_11_10 rep001 trilnormcave 000109 0.639645 0.2686 0.001 1.8194505498005222
D750_11_10 rep001 trilnormcave 000110 21.5694 23.4943 18.659523853258918 26.227268572831814
D750_11_10 rep001 trilnormcave I10 1.08741 0.1355 0.001 0.8661859488132568
D750_11_10 rep001 trilnormcave I100 0.289808 0.1246 0.001 0.6932353806834302
D750_11_10 rep001 trilnormcave I101 3.78303 3.4676 2.2547639217208855 6.332872765905834 
D750_11_10 rep001 trilnormcave I102 7.45991 9.5774 7.805278888231278 12.792156684264443 
D750_11_10 rep001 trilnormcave I103 5.5035 2.7114 1.5934158294383143 4.722620407997315
D750_11_10 rep001 trilnormcave I104 3.15108 2.199 1.1827941310803334 3.8655133428767257
D750_11_10 rep001 trilnormcave I105 2.42036 3.0014 1.6454598265658629 4.675187057817418
D750_11_10 rep001 trilnormcave I106 1.5442 1.2386 0.45130861780885256 2.511520954327755
D750_11_10 rep001 trilnormcave I107 1.15766 1.1598 0.552195603731325 2.655140827334386
D750_11_10 rep001 trilnormcave I108 2.56236 3.1312 1.9137031431392038 5.454332672589029 
D750_11_10 rep001 trilnormcave I109 12.4931 12.5328 10.850844720898634 17.09911189045915
D750_11_10 rep001 trilnormcave I11 5.75701 6.4955 4.063876520252897 12.872814918790642
D750_11_10 rep001 trilnormcave I12 0.925863 2.0426 0.6708921141705626 3.083588586616048
D750_11_10 rep001 trilnormcave I13 0.436195 1.2189 0.5923614430420533 2.6525235855014153
D750_11_10 rep001 trilnormcave I14 0.120355 0.136 0.001 1.0985146364602034 
D750_11_10 rep001 trilnormcave I15 0.111096 0.1098 0.001 0.8478697109958735 
D750_11_10 rep001 trilnormcave I16 1.84672 0.8894 0.16371265876321292 2.4062451279583215 
D750_11_10 rep001 trilnormcave I17 1.63545 1.8871 0.6554187169656016 2.948536970808018 
D750_11_10 rep001 trilnormcave I18 4.95971 5.2203 1.8317543108943672 8.338491794108597
D750_11_10 rep001 trilnormcave I19 0.215207 0.442 0.001 1.437978168476409
D750_11_10 rep001 trilnormcave I2 2.48103 3.1936 1.9796668197755807 5.818082016060163 
D750_11_10 rep001 trilnormcave I20 4.22051 1.423 0.5180050020936637 2.717214508884142 
D750_11_10 rep001 trilnormcave I21 0.580623 0.6802 0.09437782316126016 1.6627635168138224
D750_11_10 rep001 trilnormcave I22 0.852201 0.9548 0.30780099780627024 2.2411493349781075
D750_11_10 rep001 trilnormcave I23 0.126353 0.1171 0.001 0.8249301622509904
D750_11_10 rep001 trilnormcave I24 0.102161 0.1258 0.001 0.819358171753086
D750_11_10 rep001 trilnormcave I25 1.72112 0.4846 0.001 2.0381034553083177
D750_11_10 rep001 trilnormcave I26 0.374667 0.3073 0.001 1.7056357518982665
D750_11_10 rep001 trilnormcave I27 2.40451 2.2509 1.2032123332570621 4.139665773404404 
D750_11_10 rep001 trilnormcave I28 1.04339 0.2182 0.001 0.9334032519260448
D750_11_10 rep001 trilnormcave I29 0.619315 1.0601 0.3545381430212506 2.2772076199999565
D750_11_10 rep001 trilnormcave I3 1.19856 0.916 0.168969556680874 2.9787735131472446 
D750_11_10 rep001 trilnormcave I30 4.95212 4.3466 2.593088305088997 6.057884895324243
D750_11_10 rep001 trilnormcave I31 1.84087 2.7913 1.7076640558406193 5.225002014740651
D750_11_10 rep001 trilnormcave I32 0.387778 0.7187 0.10534963657686876 2.234556945876894 
D750_11_10 rep001 trilnormcave I33 1.38779 2.2949 1.4024988111011758 4.641025199211421
D750_11_10 rep001 trilnormcave I34 2.18 0.8474 0.3304223676652894 2.2107057625997903
D750_11_10 rep001 trilnormcave I35 1.66676 1.45 0.794446066797664 3.219134178669191
D750_11_10 rep001 trilnormcave I36 4.23379 4.2507 2.7446421236323446 6.542711934802195
D750_11_10 rep001 trilnormcave I37 4.23795 3.9517 2.712528184331957 7.2026234432866225
D750_11_10 rep001 trilnormcave I38 1.79845 0.6735 0.10447340280215844 1.9652049319975307
D750_11_10 rep001 trilnormcave I39 9.83449 11.1313 8.497662701826167 14.115635938102077
D750_11_10 rep001 trilnormcave I4 1.25498 1.6662 0.9280216985848505 3.4047248100067167 
D750_11_10 rep001 trilnormcave I40 10.38 10.2157 6.427654950301345 11.132322329418216
D750_11_10 rep001 trilnormcave I41 3.44993 3.8157 2.430053817987709 6.465219136463381 
D750_11_10 rep001 trilnormcave I42 2.70355 2.8196 1.9252029542297306 5.547329600504781
D750_11_10 rep001 trilnormcave I43 4.18365 3.3414 2.3585905591386864 6.561307880658245
D750_11_10 rep001 trilnormcave I44 15.4298 15.8275 9.782171362975456 15.586414789489902
D750_11_10 rep001 trilnormcave I45 0.722128 0.7782 0.10546393943375265 2.459018078718012
D750_11_10 rep001 trilnormcave I46 0.481418 0.4244 0.001 1.7688294617491855 
D750_11_10 rep001 trilnormcave I47 1.43795 0.9687 0.2662601893712124 2.07809488567518
D750_11_10 rep001 trilnormcave I48 0.706619 0.3455 0.001 1.5184815978141608 
D750_11_10 rep001 trilnormcave I49 0.774397 0.2649 0.001 1.4891484039533942 
D750_11_10 rep001 trilnormcave I5 1.90166 2.2489 1.3326692251575987 4.434231702393815
D750_11_10 rep001 trilnormcave I50 1.21584 0.939 0.40694832473355236 2.3224903642345263 
