treeModel rep clockModel nodeID trueAge estAge p0025 p0975
D750_11_10 rep001 trilnormcave I1 0 -1.9398 -6.9351 -1.2532
D750_11_10 rep001 trilnormcave I10 20.2397 18.6763 18.4181 21.0984
D750_11_10 rep001 trilnormcave I100 5.02486 3.0424 1.3207 4.835
D750_11_10 rep001 trilnormcave I101 8.8079 6.7678 3.8317 7.9249
D750_11_10 rep001 trilnormcave I102 16.2678 16.5613 16.0542 17.3657
D750_11_10 rep001 trilnormcave I103 21.7713 19.1436 17.2088 22.378
D750_11_10 rep001 trilnormcave I104 11.959 9.1691 6.9202 10.9132
D750_11_10 rep001 trilnormcave I105 7.44523 6.3422 3.8205 9.1524
D750_11_10 rep001 trilnormcave I106 8.98942 7.7024 6.0824 10.055
D750_11_10 rep001 trilnormcave I107 3.25183 1.3857 -2.1351 3.326
D750_11_10 rep001 trilnormcave I108 5.8142 4.6959 2.1318 6.3469
D750_11_10 rep001 trilnormcave I109 15.7449 13.9882 8.6453 16.0466
D750_11_10 rep001 trilnormcave I11 25.9967 25.1345 22.7026 25.4523
D750_11_10 rep001 trilnormcave I12 5.42936 6.4211 5.8181 10.0038
D750_11_10 rep001 trilnormcave I13 2.91722 2.9938 -0.8754 4.3087
D750_11_10 rep001 trilnormcave I14 3.03758 3.1391 -0.8383 4.3098
D750_11_10 rep001 trilnormcave I15 3.14867 3.2581 -0.8373 4.327
D750_11_10 rep001 trilnormcave I16 4.99539 4.1275 2.1075 6.5787
D750_11_10 rep001 trilnormcave I17 6.63084 6.0224 5.6735 10.0458
D750_11_10 rep001 trilnormcave I18 11.5906 11.1788 9.1155 13.3637
D750_11_10 rep001 trilnormcave I19 11.8058 11.6375 11.1462 13.3647
D750_11_10 rep001 trilnormcave I2 2.48103 1.659 -1.1952 3.2352
D750_11_10 rep001 trilnormcave I20 16.0263 13.0618 12.0596 20.2636
D750_11_10 rep001 trilnormcave I21 12.3864 12.3664 12.1236 13.3657
D750_11_10 rep001 trilnormcave I22 5.84759 5.0596 2.6847 8.4193
D750_11_10 rep001 trilnormcave I23 5.97395 5.1702 2.9041 9.4728
D750_11_10 rep001 trilnormcave I24 6.07611 5.2894 3.3946 10.0479
D750_11_10 rep001 trilnormcave I25 7.79723 5.7545 3.4318 13.5515
D750_11_10 rep001 trilnormcave I26 3.52334 3.6169 -0.8363 4.3511
D750_11_10 rep001 trilnormcave I27 5.92785 5.698 2.098 6.0072
D750_11_10 rep001 trilnormcave I28 6.97124 5.913 2.1686 9.0642
D750_11_10 rep001 trilnormcave I29 7.59055 7.042 4.2013 9.0652
D750_11_10 rep001 trilnormcave I3 3.67959 2.5889 1.2769 5.8272
D750_11_10 rep001 trilnormcave I30 12.5427 11.3575 8.5648 12.3966
D750_11_10 rep001 trilnormcave I31 14.3835 14.2473 11.5467 14.6155
D750_11_10 rep001 trilnormcave I32 14.7713 14.9501 11.7942 15.2752
D750_11_10 rep001 trilnormcave I33 15.7713 16.839 13.9742 18.0371
D750_11_10 rep001 trilnormcave I34 17.9513 17.8507 14.6767 21.3657
D750_11_10 rep001 trilnormcave I35 5.1901 5.6481 -0.8353 6.8318
D750_11_10 rep001 trilnormcave I36 7.27136 7.3331 5.573 9.3636
D750_11_10 rep001 trilnormcave I37 11.5093 11.491 10.996 15.3647
D750_11_10 rep001 trilnormcave I38 13.3078 12.169 11.5459 15.3657
D750_11_10 rep001 trilnormcave I39 23.1422 23.184 22.0998 23.3657
D750_11_10 rep001 trilnormcave I4 4.93457 4.253 3.2086 8.2691
D750_11_10 rep001 trilnormcave I40 13.2972 13.1255 8.1124 17.0195
D750_11_10 rep001 trilnormcave I41 16.7471 17.08 14.2958 18.1829
D750_11_10 rep001 trilnormcave I42 19.4507 20.1128 16.9691 20.627
D750_11_10 rep001 trilnormcave I43 23.6343 23.9457 20.1024 24.1855
D750_11_10 rep001 trilnormcave I44 28.727 29.0894 24.968 29.3657
D750_11_10 rep001 trilnormcave I45 0.722128 -1.1352 -5.0286 -0.2183
D750_11_10 rep001 trilnormcave I46 1.20355 -0.7071 -4.732 0.2081
D750_11_10 rep001 trilnormcave I47 2.6415 0.371 -3.0683 1.2387
D750_11_10 rep001 trilnormcave I48 3.34812 0.7277 -2.6132 1.4109
D750_11_10 rep001 trilnormcave I49 4.12251 0.997 -2.2957 2.9141
D750_11_10 rep001 trilnormcave I5 6.83624 6.4631 5.1407 11.3657
D750_11_10 rep001 trilnormcave I50 5.33835 1.9352 -2.1757 3.6242
D750_11_10 rep001 trilnormcave I51 5.72717 2.0555 -2.1747 3.7054
D750_11_10 rep001 trilnormcave I52 5.70912 2.9696 0.5717 12.1956
D750_11_10 rep001 trilnormcave I53 6.0332 3.3795 1.9185 12.1966
D750_11_10 rep001 trilnormcave I54 9.03916 7.2062 6.7352 13.8504
D750_11_10 rep001 trilnormcave I55 16.8311 12.1963 12.0778 20.369
D750_11_10 rep001 trilnormcave I56 12.4395 11.7491 12.3431 15.984
D750_11_10 rep001 trilnormcave I57 17.1673 15.9745 15.776 18.4549
D750_11_10 rep001 trilnormcave I58 22.7648 21.7525 21.0002 23.3894
D750_11_10 rep001 trilnormcave I59 4.32553 6.4078 0.239 8.7304
D750_11_10 rep001 trilnormcave I6 4.50349 4.3322 3.6699 8.5824
D750_11_10 rep001 trilnormcave I60 6.09013 6.5478 2.5158 9.3656
D750_11_10 rep001 trilnormcave I61 25.2353 25.253 22.3254 25.3657
D750_11_10 rep001 trilnormcave I62 18.0335 19.7584 15.6856 22.101
D750_11_10 rep001 trilnormcave I63 3.43838 0.8914 -2.5042 1.8634
D750_11_10 rep001 trilnormcave I64 15.3782 14.988 11.1017 16.7399
D750_11_10 rep001 trilnormcave I65 17.4343 16.7881 14.022 17.9761
D750_11_10 rep001 trilnormcave I66 20.3401 20.6281 20.0422 21.3657
D750_11_10 rep001 trilnormcave I67 3.7518 1.2935 -2.335 2.7827
D750_11_10 rep001 trilnormcave I68 3.88622 1.4757 -1.4717 3.2584
D750_11_10 rep001 trilnormcave I69 6.04765 4.0649 1.3842 7.0311
D750_11_10 rep001 trilnormcave I7 12.472 12.3404 9.0061 14.2622
D750_11_10 rep001 trilnormcave I70 9.55557 7.3245 4.3306 10.0496
D750_11_10 rep001 trilnormcave I71 21.81 20.1817 17.9684 22.079
D750_11_10 rep001 trilnormcave I72 25.4232 23.968 22.3497 25.5123
D750_11_10 rep001 trilnormcave I73 12.4146 11.4736 8.7461 13.3657
D750_11_10 rep001 trilnormcave I74 6.80255 4.8621 2.9214 9.3657
D750_11_10 rep001 trilnormcave I75 15.2758 15.3593 14.2619 23.4863
D750_11_10 rep001 trilnormcave I76 24.5478 26.7151 25.679 27.3657
D750_11_10 rep001 trilnormcave I77 5.16384 3.879 -0.2278 7.2402
D750_11_10 rep001 trilnormcave I78 8.51169 7.4208 4.975 10.2214
D750_11_10 rep001 trilnormcave I79 8.71122 8.4566 6.5974 11.3657
D750_11_10 rep001 trilnormcave I8 18.1148 15.3177 14.0615 18.4879
D750_11_10 rep001 trilnormcave I80 1.56461 -0.2261 -3.6158 2.1232
D750_11_10 rep001 trilnormcave I81 4.62391 3.5296 -1.894 10.62
D750_11_10 rep001 trilnormcave I82 4.9653 3.7073 0.4047 10.621
D750_11_10 rep001 trilnormcave I83 2.09417 0.1579 -2.6154 2.2198
D750_11_10 rep001 trilnormcave I84 2.78592 1.4342 0.0466 3.8678
D750_11_10 rep001 trilnormcave I85 5.31468 6.9994 2.7906 7.0126
D750_11_10 rep001 trilnormcave I86 5.36165 7.6008 3.8075 9.0497
D750_11_10 rep001 trilnormcave I87 10.195 11.7799 8.9805 12.9147
D750_11_10 rep001 trilnormcave I88 7.47227 8.1602 5.0664 9.3632
D750_11_10 rep001 trilnormcave I89 8.23342 9.2776 5.5522 12.2955
D750_11_10 rep001 trilnormcave I9 19.1523 18.5366 17.9204 19.3657
D750_11_10 rep001 trilnormcave I90 13.7713 13.9346 13.2172 16.9131
D750_11_10 rep001 trilnormcave I91 7.62952 8.3424 7.5937 9.3657
D750_11_10 rep001 trilnormcave I92 4.41725 2.4335 1.0953 4.4575
D750_11_10 rep001 trilnormcave I93 4.54476 2.8241 1.7498 6.2444
D750_11_10 rep001 trilnormcave I94 5.26613 2.9603 2.1134 6.9856
D750_11_10 rep001 trilnormcave I95 6.27335 7.2489 3.369 13.4851
D750_11_10 rep001 trilnormcave I96 7.14933 8.3709 3.7217 13.4861
D750_11_10 rep001 trilnormcave I97 4.73506 2.9097 1.2872 4.6655
D750_11_10 rep001 trilnormcave I98 6.19766 4.3332 2.3806 7.7142
D750_11_10 rep001 trilnormcave I99 6.21055 4.4844 3.7041 8.7069
D750_11_10 rep001 trilnorm I1 0 -1.171 -8.0588 0.9165
D750_11_10 rep001 trilnorm I10 20.2397 22.3371 20.9291 23.2683
D750_11_10 rep001 trilnorm I100 5.02486 5.7764 4.8717 9.2477
D750_11_10 rep001 trilnorm I101 8.8079 6.5876 5.9202 11.1451
D750_11_10 rep001 trilnorm I102 16.2678 16.2867 14.1576 17.3657
D750_11_10 rep001 trilnorm I103 21.7713 20.8164 17.0109 23.9654
D750_11_10 rep001 trilnorm I104 11.959 13.0666 10.9279 13.3657
D750_11_10 rep001 trilnorm I105 7.44523 10.1278 7.6002 11.3007
D750_11_10 rep001 trilnorm I106 8.98942 10.8037 9.5793 11.3657
D750_11_10 rep001 trilnorm I107 3.25183 1.8993 -1.1495 8.1617
D750_11_10 rep001 trilnorm I108 5.8142 4.7423 3.5438 9.3657
D750_11_10 rep001 trilnorm I109 15.7449 20.5598 16.7099 21.3657
D750_11_10 rep001 trilnorm I11 25.9967 25.1071 23.1445 25.7108
D750_11_10 rep001 trilnorm I12 5.42936 1.9021 0.4198 7.8333
D750_11_10 rep001 trilnorm I13 2.91722 1.0773 -4.5588 3.3075
D750_11_10 rep001 trilnorm I14 3.03758 1.364 -2.2996 3.7092
D750_11_10 rep001 trilnorm I15 3.14867 1.5107 -1.4817 4.2483
D750_11_10 rep001 trilnorm I16 4.99539 3.7 -1.2014 5.1067
D750_11_10 rep001 trilnorm I17 6.63084 6.2107 0.7997 6.5505
D750_11_10 rep001 trilnorm I18 11.5906 11.1905 8.0719 12.1678
D750_11_10 rep001 trilnorm I19 11.8058 11.3206 8.9371 13.3642
D750_11_10 rep001 trilnorm I2 2.48103 0.0935 -5.1474 2.4941
D750_11_10 rep001 trilnorm I20 16.0263 20.326 16.4968 21.3657
