treeModel rep clockModel k_input k_uniq
D750_11_10 rep001 trilnormcave 100 5
D750_11_10 rep001 trilnormcave 10 4
D750_11_10 rep001 trilnormcave 1 1
D750_11_10 rep001 trilnormcave 218 5
D750_11_10 rep001 trilnormcave 25 6
D750_11_10 rep001 trilnormcave 2 2
D750_11_10 rep001 trilnormcave 3 3
D750_11_10 rep001 trilnormcave 50 5
D750_11_10 rep001 trilnormcave 5 3
D750_11_10 rep001 trilnorm 100 4
D750_11_10 rep001 trilnorm 10 3
D750_11_10 rep001 trilnorm 1 1
D750_11_10 rep001 trilnorm 218 4
D750_11_10 rep001 trilnorm 25 4
D750_11_10 rep001 trilnorm 2 2
D750_11_10 rep001 trilnorm 3 3
D750_11_10 rep001 trilnorm 50 4
D750_11_10 rep001 trilnorm 5 3
D750_11_10 rep001 trilnormvex 100 4
D750_11_10 rep001 trilnormvex 10 5
D750_11_10 rep001 trilnormvex 1 1
D750_11_10 rep001 trilnormvex 218 5
D750_11_10 rep001 trilnormvex 25 6
D750_11_10 rep001 trilnormvex 2 2
D750_11_10 rep001 trilnormvex 3 3
D750_11_10 rep001 trilnormvex 50 5
D750_11_10 rep001 trilnormvex 5 3
D750_11_10 rep001 trilnormvex 75 4
D750_11_10 rep002 trilnormcave 100 5
D750_11_10 rep002 trilnormcave 10 3
D750_11_10 rep002 trilnormcave 1 1
D750_11_10 rep002 trilnormcave 218 5
D750_11_10 rep002 trilnormcave 25 4
D750_11_10 rep002 trilnormcave 2 2
D750_11_10 rep002 trilnormcave 3 3
D750_11_10 rep002 trilnormcave 50 4
D750_11_10 rep002 trilnormcave 5 3
D750_11_10 rep002 trilnorm 100 5
D750_11_10 rep002 trilnorm 10 5
D750_11_10 rep002 trilnorm 1 1
D750_11_10 rep002 trilnorm 218 8
D750_11_10 rep002 trilnorm 25 5
D750_11_10 rep002 trilnorm 2 2
D750_11_10 rep002 trilnorm 3 3
D750_11_10 rep002 trilnorm 50 5
D750_11_10 rep002 trilnorm 5 3
D750_11_10 rep002 trilnormvex 100 4
D750_11_10 rep002 trilnormvex 10 3
D750_11_10 rep002 trilnormvex 1 1
D750_11_10 rep002 trilnormvex 218 7
D750_11_10 rep002 trilnormvex 25 5
D750_11_10 rep002 trilnormvex 2 2
D750_11_10 rep002 trilnormvex 3 3
D750_11_10 rep002 trilnormvex 50 4
D750_11_10 rep002 trilnormvex 5 4
D750_11_10 rep002 trilnormvex 75 6
D750_11_10 rep003 trilnormcave 100 6
D750_11_10 rep003 trilnormcave 10 4
D750_11_10 rep003 trilnormcave 1 1
D750_11_10 rep003 trilnormcave 218 8
D750_11_10 rep003 trilnormcave 25 5
D750_11_10 rep003 trilnormcave 2 2
D750_11_10 rep003 trilnormcave 3 3
D750_11_10 rep003 trilnormcave 50 6
D750_11_10 rep003 trilnormcave 5 4
D750_11_10 rep003 trilnorm 100 5
D750_11_10 rep003 trilnorm 10 5
D750_11_10 rep003 trilnorm 1 1
D750_11_10 rep003 trilnorm 218 5
D750_11_10 rep003 trilnorm 25 5
D750_11_10 rep003 trilnorm 2 2
D750_11_10 rep003 trilnorm 3 3
D750_11_10 rep003 trilnorm 50 5
D750_11_10 rep003 trilnorm 5 4
D750_11_10 rep003 trilnormvex 100 7
D750_11_10 rep003 trilnormvex 10 5
D750_11_10 rep003 trilnormvex 1 1
D750_11_10 rep003 trilnormvex 218 10
D750_11_10 rep003 trilnormvex 25 9
D750_11_10 rep003 trilnormvex 2 2
D750_11_10 rep003 trilnormvex 3 3
D750_11_10 rep003 trilnormvex 50 9
D750_11_10 rep003 trilnormvex 5 3
D750_11_10 rep003 trilnormvex 75 6
D750_11_10 rep004 trilnormcave 100 9
D750_11_10 rep004 trilnormcave 10 5
D750_11_10 rep004 trilnormcave 1 1
D750_11_10 rep004 trilnormcave 218 17
D750_11_10 rep004 trilnormcave 25 4
D750_11_10 rep004 trilnormcave 2 2
D750_11_10 rep004 trilnormcave 3 3
D750_11_10 rep004 trilnormcave 50 4
D750_11_10 rep004 trilnormcave 5 3
D750_11_10 rep004 trilnorm 100 11
D750_11_10 rep004 trilnorm 10 4
D750_11_10 rep004 trilnorm 1 1
D750_11_10 rep004 trilnorm 218 4
D750_11_10 rep004 trilnorm 25 4
D750_11_10 rep004 trilnorm 2 2
D750_11_10 rep004 trilnorm 3 3
D750_11_10 rep004 trilnorm 50 6
D750_11_10 rep004 trilnorm 5 4
D750_11_10 rep004 trilnormvex 100 5
D750_11_10 rep004 trilnormvex 10 4
D750_11_10 rep004 trilnormvex 1 1
D750_11_10 rep004 trilnormvex 218 5
D750_11_10 rep004 trilnormvex 25 4
D750_11_10 rep004 trilnormvex 2 2
D750_11_10 rep004 trilnormvex 3 3
D750_11_10 rep004 trilnormvex 50 5
D750_11_10 rep004 trilnormvex 5 4
D750_11_10 rep004 trilnormvex 75 6
D750_11_10 rep005 trilnormcave 100 4
D750_11_10 rep005 trilnormcave 10 3
D750_11_10 rep005 trilnormcave 1 1
D750_11_10 rep005 trilnormcave 218 4
D750_11_10 rep005 trilnormcave 25 4
